ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.38997535070451	0.0313413442134045	0.00639322412227416	0.00021931304806234	0.00222768631155938	-4.91494184788194	8.88088163586852e-07	1.35114976893771e-06	NA	P77364
0.390645960202252	0.0953069169370059	0.261035797860453	0.281869867970788	0.254221513591751	-1.54964710265298	0.121226240888045	0.130309475075622	NA	P37767
0.39489572013807	0.438037145370884	0.0759654874777932	0.214026576868432	0.891819952094809	-0.631257993437535	0.527871848238781	0.540676062406586	NA	P00887
0.396422360622039	0.22895037841574	0.177520843489757	0.169070843678206	0.633481557304737	-1.13884533818881	0.254767667864444	0.268694646880597	NA	P21599
0.396900660842828	0.921231327548683	0.00828390749357434	6.13981968875178e-05	0.435626673133308	-2.34638557502709	0.0189564858080357	0.0218570918281216	NA	P0A8U0
0.39909585470183	0.575672525443034	0.867687577154907	0.00820003694752204	0.238493040223695	-0.921426978170166	0.35682754905605	0.370742829520631	NA	P0A8Q0
0.399275558262629	0.000174901920798322	0.41286107173787	0.00717391621393494	0.000378999915235304	-4.41259341636429	1.02139700280049e-05	1.48145592499514e-05	NA	P0A887
0.401323536238888	0.0872076892810699	4.87108430578655e-07	0.626698818414615	9.40394652822653e-06	-4.67799774324948	2.89689734027888e-06	4.29639247683508e-06	NA	P0AC81
0.402752451398818	0.679346988885036	4.5161945537227e-06	1.88032469513649e-11	1.41339859642846e-06	-6.93883964852372	3.95333543574492e-12	7.78149930096494e-12	NA	P0A6Q6
0.403598365843846	0.0593170891151339	1.39715188232437e-05	0.0772456598552141	0.000591035306156668	-4.76783621347778	1.86215070614314e-06	2.79322605921471e-06	NA	P0ADV5
0.406712549775737	0.266497784770675	0.00632618020121724	0.514319058443964	0.00269620712576871	-2.727807601825	0.00637567828295555	0.00763852676512554	NA	P0A8B2
0.406796012199835	0.948519715078538	5.87861536219994e-06	0.058201216008189	0.14347052312578	-2.51427051619357	0.0119278901981323	0.0139543221450184	NA	P0AAW1
0.407848562684608	0.287101700721328	0.00097983043760769	0.923439375685838	0.00276675711793027	-2.3419927281905	0.0191810886398521	0.0220819322921754	NA	P52076
0.408170850365756	0.577669512279122	2.47418244375535e-05	0.155350543294186	3.38914785641524e-09	-4.87661802099071	1.07920129007359e-06	1.63082544711999e-06	NA	P0AEU7
0.412400878800297	0.037671322700273	4.24170084987818e-08	1.85793724207008e-10	1.32600463456597e-06	-8.19200407861142	2.56911928501684e-16	6.07147725434815e-16	NA	P0AC23
0.412687691398839	0.0575807770923447	0.45345052529661	0.00398937808241167	0.00013377769265633	-3.67198420290795	0.000240674562567754	0.000320422171937319	NA	P60472
0.413527857495957	0.305139236827117	0.623007377686299	0.0151343112237923	0.000366774780850526	-2.6645193827975	0.00770984231897947	0.00918776736415125	NA	P0ACU5
0.41430916357521	0.513915627971555	0.644189647787448	0.00924082589964202	0.0171791196542308	-1.91567152881697	0.0554069186065495	0.0613561028408994	NA	P15038
0.41497168713398	0.0567066219532884	0.0570525958782997	0.929305900960994	0.187745862733861	-1.24925090170175	0.211573319702703	0.224301795118261	NA	P0AGF2
0.417100180139617	0.0784253314167256	0.00020088457126555	0.095512535924675	0.742664323892913	-2.60276135320378	0.00924763003263767	0.0109503682608694	NA	P0AB96
0.417711336388606	0.737223305142144	0.108067901591192	0.698699429391488	0.640661785603889	0.0317877461628147	0.974641318844773	0.975949562225773	NA	P0ACE0
0.419344783045792	0.0341071969832985	0.975611502706333	0.0884154254113147	0.763874166570488	-0.307852529269734	0.758194548729891	0.768148211886598	NA	P76272
0.42186383140502	6.47735210649249e-05	0.151222951542881	0.000922614981568069	1.08190748036897e-07	-5.97227212384142	2.33971830350064e-09	4.01555948100801e-09	NA	P0A8U2
0.421998854002213	0.610631995162639	0.00457976199301761	0.484229645582938	0.00746342985270257	-2.23407669638486	0.0254780270422881	0.0289587732456276	NA	P50456
0.423413915568111	0.00119330672888023	0.321329470748365	0.0185790739583222	0.0980633441852427	-3.16233604917756	0.00156508838160214	0.00195898646422013	NA	P64540
0.424404601379685	0.593715599133572	0.964393945670618	6.84952691289177e-06	0.321092781314889	-1.32494962177188	0.185187861000784	0.196888566707722	NA	P0A6W3
0.425045926811221	0.940180277646213	0.115551108795251	2.82192665009446e-06	0.0022534509645569	-3.22434834441169	0.00126259712199816	0.00159014764154861	NA	P37617
0.426181380010668	0.0491687832428871	0.259953963547016	0.000606186413001531	0.00113514340881336	-3.92246563263588	8.7647398460988e-05	0.000120636456184312	NA	P0A7G6
0.426442924864436	0.279919282797765	0.0137104142277508	0.000243174349834356	0.770620856728798	-2.55862733882802	0.010508632541243	0.0123780629617378	NA	P67910
0.426983904316155	0.00843316503439175	0.276294966295005	0.000263431958814201	0.0938052205683078	-3.55621779404668	0.000376232214589562	0.000494135971978544	NA	P31548
0.427269892641275	0.0010222585899713	0.0093089808006474	1.49295163812699e-06	0.00147313123045092	-5.93237218894375	2.98588808965042e-09	5.09330605536406e-09	NA	P21499
0.42893472760043	0.308573540935855	0.00140221038814362	0.00422578712237551	0.45285887985794	-2.87079945300273	0.00409435190619818	0.00496917546967003	NA	P37671
0.42926213798206	0.190076389458585	0.14242751333642	0.446994479662189	0.273584630090712	-1.27930373922843	0.200790116372858	0.213071730887841	NA	P0ACM2
0.429605678827861	8.04742193756553e-05	7.29772382485525e-08	1.00285906110801e-10	1.80487421210098e-05	-8.81035214683244	1.24753333458608e-18	3.22399492240605e-18	NA	P30870
0.431887099831807	0.926777433622939	0.00541688245319731	0.0949445431224962	0.836197072852225	-0.715248305045553	0.474455625408611	0.487302289887321	NA	P64467
0.431919093350888	0.375765879363105	0.156408744282119	0.073491091442406	0.0294047532857567	-2.16331835403834	0.0305167023704651	0.0343889123389229	NA	P08394
0.434417268901883	0.557407022585272	0.61066559479896	0.000390444356456361	0.96942330563952	-0.548634155191819	0.583256541416143	0.595768206156699	NA	P0A9R4
0.436406413818852	0.42384551893433	0.667017701094442	0.485353616160689	0.591734961809167	0.122907672738699	0.902180209730637	0.906229492539122	NA	P37637
0.438071070218271	0.508175218050658	8.22488201031523e-05	0.739387980838864	1.15709956345993e-07	-3.77186675559005	0.000162030778969393	0.000217923607772537	NA	P0AB28
0.440715465658612	0.23705267669546	0.779926434953516	0.913277813315652	2.15055166023884e-05	-1.26225441473915	0.206857254081288	0.219405940584798	NA	P0A8E1
