Symbol	metap	metafc	idx	ID
P45807	0.00142768951560975	0.292816645538023	0.833170594724828	P45807
P0ACI3	0.00146999260534564	-0.031152645937741	-0.0882456281828337	P0ACI3
P64429	0.0014709681675897	-0.109693408936869	-0.310695252281499	P64429
P39286	0.001483690637467	0.0597875707448964	0.169118509206165	P39286
P0A8I8	0.00148528343937804	0.0803811882766702	0.227333326021926	P0A8I8
P0AAG5	0.00149667181397359	0.00316540504786686	0.00894186858357503	P0AAG5
P77285	0.00150318015239267	0.0140205252021278	0.0395797879597214	P77285
P0AA57	0.001514409773847	0.167695016394655	0.472859128619087	P0AA57
P0AFK0	0.00153454749267017	0.0766678501770322	0.215744838152374	P0AFK0
P03819	0.00154171276149275	-0.0723264418713569	-0.203381703766047	P03819
P08190	0.00154679978054246	-0.306091568532286	-0.860290524248285	P08190
P45795	0.00155004227997314	0.0476703988575455	0.133937443889513	P45795
P0ACK2	0.00155520325935625	-0.148500142796868	-0.417020008075641	P0ACK2
P67697	0.0015692322983778	-0.331672875807153	-0.930114478329133	P67697
P0A8Z3	0.00163448143142748	-0.0589871940472416	-0.16437489519916	P0A8Z3
P08245	0.00166949931769611	-0.0135629172085239	-0.0376698328006794	P08245
P37052	0.00167127069855395	0.159817605827798	0.443806012078737	P37052
P76008	0.00168161704962082	0.12288714078943	0.340922464211928	P76008
P25741	0.00177310634948432	-0.170571181966567	-0.469286559623696	P25741
P76562	0.00181979269009715	0.144600993905243	0.396203554198137	P76562
P37340	0.00186533870450754	-0.45852617482418	-1.25142903123678	P37340
P12281	0.00187785081633898	0.0922956670901371	0.251629268662967	P12281
P37355	0.00188222767192244	0.0477149904413687	0.130038992121966	P37355
P10903	0.00188479732248541	0.424681109198592	1.15714362809659	P10903
P29680	0.0019315523822101	0.043095947364081	0.116966431032132	P29680
P67910	0.00193542554682654	0.0538794013457711	0.146186859553443	P67910
P15993	0.00195326087614112	-0.177986878411323	-0.482209125752246	P15993
P76106	0.00201573681596616	-0.231553668840889	-0.624168236740519	P76106
P0CF66;P0CF67;P0CF68;P0CF69;P0CF70	0.00202108770323675	0.134932117743682	0.363563100477272	P0CF66;P0CF67;P0CF68;P0CF69;P0CF70
P69931	0.00204069465583624	0.0487378298856185	0.131115580867162	P69931
P75796	0.00218334820584753	-0.070223168623557	-0.186855214004324	P75796
P02943	0.00219972855402011	-0.292202773761336	-0.776567122865882	P02943
P16433	0.0022347835088765	0.354231433187577	0.938984122786118	P16433
Q59385	0.00226749096009873	-0.134215256614991	-0.354926130692039	Q59385
P46854	0.00234444741247179	0.128435698577451	0.337780686169346	P46854
P39408	0.00238749410162027	0.103851900310133	0.272305674107741	P39408
P75915	0.0023995485142537	0.0906735440467947	0.237552940009068	P75915
P0A8C4	0.00240334087132263	-0.130705268540876	-0.342341230141215	P0A8C4
P39836	0.00241552111947223	-0.067068258856917	-0.175516906477138	P39836
P76340	0.00242930573822992	0.0370486326403366	0.0968643103925613	P76340
P76027	0.00242946097488575	0.133077268852899	0.347929198323155	P76027
P62707	0.00243105315008954	-0.118031574669478	-0.30855879711317	P62707
Q47622	0.00244845325889941	0.0939297584523342	0.245260760853626	Q47622
P37671	0.00244962242613386	0.118432642380839	0.309215886741587	P37671
P27127	0.00247351202288408	0.132152576884718	0.34448026863826	P27127
P0A742	0.0024822468313685	0.0300350911716032	0.07824606899288	P0A742
P0A8W5	0.0025135963988911	0.0962387088902382	0.250192200196945	P0A8W5
P77522	0.00252021388681455	0.160626393946156	0.417397739837305	P77522
P37024	0.00255662374045735	0.0524666641954649	0.13601107457414	P37024
P76116	0.00257663108781817	0.221205601318736	0.572689745507253	P76116
P67601	0.00260071111127868	0.203378469372947	0.525714609496612	P67601
P00393	0.00263349110483252	0.104623821248706	0.269873814038081	P00393
P23836	0.00279577247524456	-0.0210188024781751	-0.0536714737711754	P23836
P76502	0.00281842603498217	0.154940768938576	0.395097931684248	P76502
Q47157	0.00284087871974365	-0.431380840213298	-1.09853171667488	Q47157
P0A756	0.0028563286542797	0.133209085891385	0.338909467116999	P0A756
P0C0R7	0.00287316314456698	-0.0647996374903295	-0.16469733204025	P0C0R7
P25746	0.00289579512713085	0.03042934782106	0.077236749461078	P25746
P15067	0.00290750554689039	-0.107020071655124	-0.271454212283022	P15067
P05050	0.00296585679414475	-0.0955876784445063	-0.24163129600169	P05050
P21507	0.00301149118481297	0.00534733290342624	0.0134817941271023	P21507
P0ADC6	0.00302105603400312	-0.153943613638178	-0.387913463114441	P0ADC6
P0ACZ2	0.00302556443228649	0.277631903132178	0.69940851183756	P0ACZ2
P14294	0.00303745953660124	0.103032881267554	0.259384196621361	P14294
P52697	0.00303789837348495	-0.112576077154218	-0.283402029010835	P52697
P0A8E1	0.00312239674116215	-0.0495877718076399	-0.124242753102277	P0A8E1
P37182	0.003136090456232	-0.183620679166879	-0.459714829159362	P37182
P32677	0.00314583671908951	-0.12640676372027	-0.31630307179751	P32677
P77689	0.00320929216208195	0.153770555005286	0.383440832744314	P77689
P0A9S7	0.00323934844677949	0.106603906372327	0.265394937857178	P0A9S7
P36649	0.00325091213214857	0.0377114488865856	0.0938258875518146	P36649
P30140	0.00325347279185685	-0.124593115654684	-0.309944415614742	P30140
P77256	0.00325445680222191	-0.18818318113688	-0.468109706881955	P77256
P13000	0.00330697139682332	0.0976280892424369	0.242173266516155	P13000
P22729	0.0033354174074652	-0.233012530801169	-0.577137042409288	P22729
P0A7A7	0.00335140225744808	0.0299003995769211	0.0739967147824054	P0A7A7
P52076	0.00335679105393523	-0.000655896611096154	-0.00162273786126181	P52076
P36562	0.00336593063294493	-0.00200806578512166	-0.0049657355153177	P36562
P29131	0.00347634551750905	-0.0568879862209158	-0.139880564598836	P29131
P15028	0.00352949359912224	0.238161786144442	0.584041195284052	P15028
P67660	0.00355337901952066	0.0343652638555928	0.0841728499686144	P67660
P40719	0.00360982754341129	0.180883294669584	0.441809897415164	P40719
P19925	0.00364472882052398	-0.232717402481113	-0.567442936157971	P19925
P76361	0.00366159789717539	0.419273695652539	1.02148881039803	P76361
P0AEB7	0.00378694399677075	-0.0791491894562923	-0.191676472039228	P0AEB7
P76206	0.00382038250258143	0.49971002144345	1.20824543917311	P76206
P0AEU3	0.00394021716998997	-0.346443299250739	-0.833015929039739	P0AEU3
P0A9L5	0.00394851244398332	-0.0801385946902192	-0.192618440668365	P0A9L5
P26281	0.00396444193969944	0.0740960407445063	0.17796519980409	P26281
