ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.00022248894408679	1.75316207071901e-05	1.53122061579236e-07	8.2363798915283e-11	3.39397023665911e-11	8.2363798915283e-11	6.7837953706397e-20	3.25099229967701e-19	NA	P37634
0.000228198239876165	4.2558673887212e-06	0.00376329849210264	3.45458676180975e-09	1.13137948638332e-14	3.45458676180975e-09	1.19341696124159e-16	4.11535771842633e-16	NA	P75959
0.000233355264495827	1.93974333475009e-05	2.03586383800319e-07	0.000272405550251734	3.28700404283026e-06	3.28700404283026e-06	1.08043245495737e-10	2.29412507988102e-10	NA	P0A8X2
0.000233411632716165	1.09130852751731e-06	9.10894981343291e-09	2.68051386542082e-10	2.91602444554154e-11	2.68051386542082e-10	7.18515457886127e-19	3.06292875190315e-18	NA	P0AES6
0.000234538547421453	0.0144337141362732	9.58735719038501e-11	4.36368558883378e-14	1.93439545997968e-10	9.58735719038501e-11	9.19174178784023e-20	4.32166347083749e-19	NA	P0AGL7
0.000235235489025423	2.96408944452361e-06	2.25922161244105e-07	0.00151140091476863	0.000118541004915604	2.96408944452361e-06	8.78577415130245e-11	1.87799069251336e-10	NA	P0AAJ8
0.000239836282505821	0.00010197567564349	1.34075628761966e-08	3.60806692182385e-07	4.70510965614635e-05	3.60806692182385e-07	1.30181375182929e-12	3.19808910712838e-12	NA	P42624
0.000239910662674487	2.27170066043908e-07	5.01843962160985e-10	8.88707740271217e-11	4.52951223150977e-06	5.01843962160985e-10	2.5184736210466e-18	1.02107680505476e-17	NA	P76217
0.00024160981119607	4.18394695462792e-10	1.36350295456451e-18	7.04712317979738e-19	2.44826126919527e-19	7.04712317979738e-19	4.96619451112376e-36	1.68399141149924e-34	NA	P76346
0.000242939709591226	6.03854051080889e-06	6.61128779828892e-09	8.64132725446037e-10	7.70467758176496e-06	6.61128779828892e-09	4.37091257738568e-16	1.43854446296899e-15	NA	P45527
0.000244238250788136	0.550986873552801	0.227436280601654	0.000175506828777785	0.0011391770403229	0.000244238250788136	5.96231897271779e-07	9.64137995732834e-07	NA	P69222
0.000245178102274708	0.000125552322856273	6.50347952384955e-11	5.83821483282401e-14	5.73761955369484e-09	6.50347952384955e-11	4.22952459116289e-20	2.08955320861425e-19	NA	P0A9E0
0.000246469894560018	0.0219469137452886	0.00171601709776633	5.91567490985132e-05	9.48545387213235e-06	5.91567490985132e-05	3.49910694170687e-08	6.19541244900315e-08	NA	P0AA89
0.00024655896136024	0.00136243546656111	4.10669844291678e-06	0.0050455785830306	0.140779932288629	0.00024655896136024	6.07613496799115e-07	9.81124823835801e-07	NA	P60651
0.000248520013503872	0.00101469359805063	0.000892297389800456	8.37096534643641e-05	0.00468615627111838	0.000248520013503872	6.17315045493185e-07	9.96071428849133e-07	NA	P77737
0.000250542378795677	0.130742199291169	7.24551055233533e-07	0.00384503060096774	0.058127889152159	0.000250542378795677	6.27400356489608e-07	1.0108869674757e-06	NA	P0ADW8
0.000252557608038822	0.00192338242858745	2.75207514511603e-07	1.17683412617696e-07	3.78605590020445e-10	1.17683412617696e-07	1.38493823456613e-13	3.63790113727581e-13	NA	P24182
0.000254514137001729	0.0293249870256898	5.65167604481988e-08	2.73788595184654e-07	8.12371832149985e-11	5.65167604481988e-08	3.19414385051374e-14	8.86614405780793e-14	NA	P06992
0.000257623605619116	0.00042979469015018	2.31759797474062e-08	0.000235843659894558	NA	NA	NA	NA	NA	P0AEA2
0.000258652592327541	3.58815029252755e-08	5.25232767154878e-08	7.53340267416149e-10	3.92204900800538e-10	7.53340267416149e-10	5.67521557655561e-18	2.21274084674764e-17	NA	P13857
0.000259075939490182	0.000177587019784472	7.33427009148536e-07	2.47964601707716e-11	1.54978478725201e-15	2.47964601707716e-11	6.14864436970171e-21	3.35626002424205e-20	NA	P0ABA0
0.000259210347500143	0.017837979043895	0.000221520291101469	3.25569029616098e-05	NA	NA	NA	NA	NA	P0AA86
0.000259533697347783	0.0109252997706664	0.484165871203007	0.5207466426837	0.446623079579189	0.0109252997706664	0.00116775348721615	0.00145920285002219	NA	P32177
0.00025971680033026	0.0309372364714238	0.00107642081470019	4.38597825366934e-07	0.0265571881821169	0.00025971680033026	6.74177859388553e-07	1.08391526531004e-06	NA	P0A825
0.000259749938454381	0.000311707015955423	0.735462346977026	2.52325050151398e-08	0.00014485876732779	0.00014485876732779	2.09779836813512e-07	3.49320888979643e-07	NA	P02358
0.000260236221914805	5.52190127628743e-07	2.49613437937862e-09	4.20871216525902e-13	2.65371407040663e-08	2.49613437937862e-09	6.23068680881063e-17	2.19249639593053e-16	NA	P45537
0.000264718315096509	7.60013336189106e-05	8.03436094064557e-07	3.03442770491511e-07	0.00102451431293398	8.03436094064557e-07	6.45508519994981e-12	1.50641091527504e-11	NA	P15770
0.000265196102240171	0.961667071287251	0.008995016456503	0.0210994956978566	0.0154047134504186	0.008995016456503	0.000794645378798196	0.00101218916206623	NA	P30744
0.000265663650518081	3.95062106653575e-07	3.0475261855196e-06	4.29203690614066e-07	2.9169378764881e-07	3.95062106653575e-07	1.56073944795697e-12	3.80493996135914e-12	NA	P30138
0.000266758212095021	5.69002102632974e-07	1.15865240586253e-06	6.50171457703389e-13	1.16839818070172e-10	1.16839818070172e-10	1.36515430834808e-19	6.3124283927335e-19	NA	P10907
0.00026783804212492	0.0382241245211456	1.53781274542308e-05	6.60739241515497e-09	0.0127600620799715	1.53781274542308e-05	2.3647953063403e-09	4.56242404792206e-09	NA	P27247
0.000269199977676688	8.91609344683575e-09	2.12414880457152e-07	1.5799653787513e-15	2.77229391762859e-10	2.77229391762859e-10	7.68561356145914e-19	3.27003862177672e-18	NA	P33599
0.000269252804680084	0.0110516307759394	0.00901809742543635	6.77284225047447e-07	0.000166356204037708	0.000166356204037708	2.76651801587771e-07	4.57610297083098e-07	NA	P28304
0.000269590064055718	NA	NA	8.76378921345201e-12	NA	NA	NA	NA	NA	P02942;P07017;P07018;P50466
0.000270392877067005	2.72565770811447e-09	2.83722374421638e-13	4.05707728412806e-12	2.80916588402729e-12	2.80916588402729e-12	7.89141296393851e-23	5.43414837332135e-22	NA	P00893
0.000273597676700049	9.18462824039836e-05	3.18874816098705e-07	1.89859474516202e-16	6.91099626694407e-15	6.91099626694407e-15	4.77618694017141e-28	5.59639077073488e-27	NA	P08506
0.000274019533428693	0.3951633558823	3.6613414292669e-06	4.19719912340396e-09	NA	NA	NA	NA	NA	P77257
0.000274931209601364	7.35103368345981e-05	8.45632311280975e-10	4.90676578668167e-13	2.44538163831224e-12	2.44538163831224e-12	5.97989135696541e-23	4.19529682034125e-22	NA	P0AG48
0.000277017439624819	0.000507711743103382	1.5404294048308e-11	3.94075915508253e-12	9.54964835218951e-09	1.5404294048308e-11	2.37292275119427e-21	1.3651930892475e-20	NA	P46852
0.000280919818786862	0.0129373787074529	4.93607932208421e-07	6.49186955134166e-05	0.000167994262142023	6.49186955134166e-05	4.2138898622972e-08	7.43158826778656e-08	NA	P17846
0.000281695769571482	0.000331871747533613	9.65637124818359e-07	2.68184640135999e-06	1.22623634621198e-10	9.65637124818359e-07	9.32453256002329e-12	2.16027990365757e-11	NA	P0AFI2
0.000284210174401689	0.101012585792981	3.43505959150909e-09	4.25434551537118e-05	2.50730527877825e-09	3.43505959150909e-09	1.17996343161537e-16	4.08154275108995e-16	NA	P61517
0.000289608833058665	0.173087985749456	5.07274161914655e-12	7.34183472688155e-10	7.77061215740108e-10	7.34183472688155e-10	5.39025370776951e-18	2.11267737267744e-17	NA	P0AAT4
0.000291155275414411	0.0105864797295669	1.22706571092767e-11	1.19303424568054e-09	2.84749044746741e-08	1.19303424568054e-09	1.42333070797037e-17	5.32677947230381e-17	NA	P0ABU0
0.000296529827458733	2.42199737307745e-12	1.88275762415133e-05	0.000105374614641318	0.00424801812264982	1.88275762415133e-05	3.54464279409375e-09	6.76869502831212e-09	NA	P77243
0.000298254379358912	0.000517557169261709	5.76119000886807e-06	2.08691974713364e-14	0.0961857761094652	5.76119000886807e-06	3.3190927877043e-10	6.84620245058269e-10	NA	P13518
0.000308185010311131	3.65325300188405e-05	8.34649517261528e-13	4.84676051852271e-08	0.00567771948325809	4.84676051852271e-08	2.3491085246797e-14	6.57163109779147e-14	NA	P77766
0.000310427147966228	0.442359658602457	0.93482583943675	4.31105730679027e-05	0.300569973597031	0.000310427147966228	9.63051994895768e-07	1.53402872923611e-06	NA	P75874
0.000311357252404622	9.92506485672784e-06	3.13865699499422e-11	9.38582637561237e-10	4.6635755219187e-13	3.13865699499422e-11	9.85116773160776e-21	5.19974372248542e-20	NA	P75876
0.000321708063868321	4.03945677194927e-11	0.407660086612148	4.00995015084517e-07	NA	NA	NA	NA	NA	Q46814
0.000322163051359739	0.046450318807591	0.00287576587807654	3.8876835671807e-07	0.00132148635996863	0.000322163051359739	1.03722173835999e-06	1.64748207980813e-06	NA	P76220
0.000323221499836958	3.44883167961488e-08	6.32747595449703e-15	6.27949815320735e-10	NA	NA	NA	NA	NA	P42904
0.000326210576862788	1.75006739296426e-05	3.80445115087597e-11	6.84952405408635e-08	2.63844796743577e-10	2.63844796743577e-10	6.9614076731925e-19	2.97321190316886e-18	NA	P0AE78
0.0003301362536513	0.0085907593011319	1.07269270971829e-05	1.45205977085911e-13	1.91095801138388e-13	1.91095801138388e-13	3.65176052127082e-25	3.21757482149768e-24	NA	P28249
0.000340561034473836	0.223960058035431	0.00500211531829052	5.58085602512425e-07	8.73172233985288e-07	8.73172233985288e-07	7.62428418738754e-12	1.77556170773916e-11	NA	P22939
