Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P0ADJ5	1.00047863248586	0.595993124274994	1.40496414069672	14.908329415489	4.99631524750044	1.15236582175564e-05	1.8956116452006e-05	1.38824516316671	P0ADJ5	2	5.09934636217775	7.30652507934165e-06	1.22178219135359e-05
P30847	0.17256421985503	0.101159597959923	0.243968841750137	18.632456856833	4.79544696657997	5.74962709764318e-06	9.64288762643829e-06	1.77898074478207	P30847	3	4.72955477812987	7.32041990886876e-06	1.22338304380209e-05
P0ACR2	0.225104044437849	0.135555995728426	0.314652093147272	17.845014711478	5.00285505701974	3.29990393840436e-06	5.65155961864655e-06	2.377153089438	P0ACR2	2	4.78823586579771	7.36299639225544e-06	1.22977243578025e-05
P0A9N8	0.257601973331756	0.153710279052904	0.361493667610608	17.7703568843325	4.93663864428693	4.44006497192929e-06	7.51783728201663e-06	2.09557959742155	P0A9N8	2	4.7878448104001	7.60863177018787e-06	1.27004932437511e-05
P45955	-0.224710992590243	-0.320253233889633	-0.129168751290853	21.8684770652607	-4.66695439358253	9.62950029844031e-06	1.59235486827596e-05	1.2786008875787	P45955	13	-4.71542604542317	7.74891964239388e-06	1.29270427269399e-05
P0AEH5	-0.35291697418528	-0.502894629609693	-0.202939318760868	24.5651270318868	-4.66928788124487	9.54040572895754e-06	1.57854404551016e-05	1.28761123450792	P0AEH5	5	-4.71143805525547	7.87420827161366e-06	1.31283177956056e-05
P39409	0.413212537416829	0.244811894094643	0.581613180739015	16.0112343909095	4.90870611272818	7.43534774893657e-06	1.23674908796941e-05	1.70025517919424	P39409	2	4.87559526017145	7.88742182858169e-06	1.31426081204913e-05
P28246	-0.458115413412251	-0.631348243597347	-0.284882583227155	16.2986925036791	-5.38858296951966	6.58518306484611e-06	1.10116085390309e-05	2.16721561024358	P28246	2	-5.25459533794026	8.02529728976051e-06	1.33644803690071e-05
P39406	0.124530348039759	0.0718427791478228	0.177217916931695	21.6834134493113	4.68998772336808	8.78429002735039e-06	1.45599092900638e-05	1.36766558268469	P39406	9	4.70304720187654	8.14426936243795e-06	1.3554630549713e-05
P06968	-0.352762596546746	-0.502491391919526	-0.203033801173966	23.1132457888644	-4.67500267748824	9.32557272917022e-06	1.54390037405151e-05	1.30969003478375	P06968	3	-4.70115960497712	8.20624852214447e-06	1.36497588520511e-05
