	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P00561	-7.339206615372223	25.629061377775102	12.91873509931142	-0.2926037097039682	-0.37175564884957535	-0.21345177055836106	1.7720719278641067e-10	7.322253198264891e-11	96.9	86.0	-7.435304048357058	4.1859927470557745e-11	1.0243160029761268e-10
P00562	13.361693321672552	22.0864219182421	42.06063944072592	0.5150043919199874	0.4384834550557547	0.59152532878422	8.279064282217503e-23	1.6193768767173602e-23	96.9	24.0	13.527037046586573	4.777392168218198e-24	2.5004888076067094e-23
P00579	3.2919664257291057	22.798855921371324	-3.438372516502561	0.0785697983481981	0.03118586740370364	0.12595372929269258	0.002018660640589131	0.001398890223866167	96.9	34.0	3.3446225600889155	0.001172895054100564	0.0017002524252607164
P00579;P13445	4.330888607221727	19.67086642426481	0.022877441451853997	0.30596579147761815	0.1657080941096591	0.4462234888455772	6.005183956640649e-05	3.689527970566155e-05	96.9	2.0	4.295606611740314	4.142275674339356e-05	6.715365376915955e-05
P00582	-2.766004339725988	22.198557658205907	-4.9048006517125735	-0.06628332635150969	-0.11385870824929778	-0.0187079444537216	0.009179210996039742	0.006822689835687241	96.9	50.0	-2.8127374484506467	0.005947282415644754	0.008065878520128342
P00634	-13.463518416322513	20.03144978254815	42.53629986425567	-0.5119099055109686	-0.587395800746228	-0.4364240102757092	5.268397995048905e-23	1.0084114918920013e-23	96.9	6.0	-13.508834388467521	5.204969234143798e-24	2.714358272742021e-23
P00722	-14.004034964327426	17.485742913195608	39.61123894843523	-0.9335774178056759	-1.0664483736920298	-0.800706461919322	1.165930031828241e-21	2.4393715999480137e-22	74.9	2.0	-13.75696531352951	3.421639250942594e-22	1.5980674021939066e-21
P00803	-1.9422733124516585	21.715156973803147	-6.752627180807391	-0.06152447906197267	-0.1244125752833733	0.0013636171594279545	0.06706790292547753	0.055073922381347416	96.9	12.0	-1.9587367681237242	0.05301833423480251	0.06472984687174396
P00805	-22.022887600336603	22.67639312767939	78.01488520750542	-1.6622341477700644	-1.812081399814771	-1.512386895725358	6.319882196111121e-38	4.8342794304866775e-39	96.9	11.0	-22.258099806151268	7.12060506377263e-40	9.438098285917148e-39
P00811	3.1849256419969896	20.304816565729485	-3.753644782167961	0.06526763452468742	0.02458309349013378	0.10595217555924107	0.002775692720472087	0.001960339043239455	96.9	7.0	3.1515417315321432	0.0021613084251429727	0.003052701539804801
P00861	17.32702552200551	20.882567927848427	59.672502891331305	0.5714341517037695	0.5059595262479243	0.6369087771596148	3.314534796813108e-30	3.982535697183755e-31	96.9	15.0	17.506371310468122	9.053712419500844e-32	7.601401365698217e-31
P00864	39.03866190185081	24.90683608399146	127.0018261411909	1.2861961855724928	1.220786337641704	1.3516060335032816	1.5380282446297714e-58	3.428719964411815e-60	96.9	95.0	39.57388284680667	1.2754958372705757e-61	5.986466528042063e-60
P00887	1.9174903117486555	22.756769807796566	-6.7991165973683465	0.0636001668077455	-0.002249854803205581	0.12945018841869657	0.07059005761919172	0.05818810198438437	96.9	14.0	1.9364716861244202	0.05572333803555528	0.06774348908526318
P00888	-21.413883749406477	22.940992484218338	75.78349998425489	-0.7081553874678406	-0.7738098073491054	-0.6425009675865757	5.4521406104987005e-37	4.437124562508548e-38	96.9	22.0	-21.679417486057126	5.991929237656822e-39	7.491219828563966e-38
P00888;P0AB91	5.227876540265469	21.86218605452449	3.4659200931521443	0.4718129427242701	0.2917580434044824	0.6518678420440578	3.132151967597269e-06	1.752604768456453e-06	70.9	2.0	5.1118561188736305	2.59698823395664e-06	4.618122555166373e-06
P00893	16.818915839932792	22.435893532941034	57.524908874178266	0.5167011239277031	0.45570921105045525	0.5776930368049509	2.5646248932714993e-29	3.36814166912359e-30	96.9	24.0	17.037055027504696	6.6493720749299415e-31	5.215658150828609e-30
P00894	12.023351630047147	22.229453530662358	35.71110925935014	0.4670340496080314	0.38991638993062583	0.544151709285437	4.0071941486102445e-20	9.055726909363702e-21	96.9	10.0	12.121393904736294	3.962489107623818e-21	1.761584831541458e-20
P00895	9.727592692534305	22.622452884039724	24.51569116590795	0.2862657828691084	0.22784129584958027	0.34469026988863655	2.107386415783497e-15	6.477471344357238e-16	96.9	21.0	9.848450018862875	2.876734529442619e-16	9.466771215855421e-16
P00903	-0.5847828107809712	18.35788017066989	-8.426098529885506	-0.03471590147390202	-0.15259169278775442	0.08315988983995039	0.593033489395002	0.5600986920447382	95.9	2.0	-0.57465443895074	0.5668706616233246	0.5995384943581744
P00904	5.418909649023208	22.766375895793512	4.298432753995813	0.19271098771304196	0.12210762067587123	0.2633143547502127	8.464078795542915e-07	4.5468924860443607e-07	96.9	18.0	5.480826335466038	3.3539669678510735e-07	6.29666060915254e-07
P00909	6.610279910699279	22.792964949150377	9.527447985934124	0.19731664427848727	0.1380548609384236	0.256578427618551	4.875820647733658e-09	2.2446146048595744e-09	96.9	20.0	6.690378856680572	1.4390394547139245e-09	3.171647389411829e-09
