Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P31475	0.423609893504764	0.266096443920149	0.581123343089379	18.0472778180315	5.60234674571079	1.62046180255465e-05	7.06587151469262e-05	2.03326329229797	P31475	6	5.1359200771621	3.7932134148593e-05	0.000144816458816184
P0AFH8	-0.852146917209012	-1.20848352598416	-0.495810308433869	24.4607752332793	-4.98167702766078	6.75583918849985e-05	0.000251950761053026	0.585160412184162	P0AFH8	11	-5.13328107344514	3.81743987869264e-05	0.000145525777624126
P39280	0.443427803935219	0.267602586110845	0.619253021759592	17.3043485365299	5.25367605033545	3.598032266788e-05	0.000143088412831986	1.22305472154475	P39280	8	5.13064598554719	3.84178666725701e-05	0.000146237581115529
Q47690	-0.54115615390419	-0.757613521434601	-0.324698786373779	18.6796894398812	-5.20800943488998	3.99771768521818e-05	0.000156329567144268	1.11626873525168	Q47690	7	-5.12970339060817	3.85053384881039e-05	0.000146354361775581
P07117	-0.447475968321374	-0.608135850682594	-0.286816085960154	17.0595068060852	-5.80208123582337	1.03198372509247e-05	4.67385247726414e-05	2.49268316847985	P07117	5	-5.12541417153764	3.89059261036907e-05	0.000147659162841253
P30014	0.493743659244823	0.310517333398664	0.676969985090981	15.3811626930392	5.61351893159351	1.57989227192618e-05	6.90064810975212e-05	2.05905823488893	P30014	5	5.12461049796811	3.89814523412592e-05	0.000147728239240331
P15639	0.383223653067176	0.217534021262549	0.548913284871803	21.7444719647273	4.8181299240026	9.89439916261064e-05	0.000351694712304105	0.199826235624179	P15639	34	5.09468588694895	4.19018495532123e-05	0.000158562505578015
P0AFI5	0.755952689636644	0.473132086750109	1.03877329252318	13.9392512840812	5.56807538034174	1.75167144353301e-05	7.56123502509979e-05	1.95406688145859	P0AFI5	3	5.09262235062795	4.21112122279679e-05	0.000159121105442043
P00550	-0.372315241858892	-0.531356932432967	-0.213273551284818	18.9319801031619	-4.87664751094364	8.62990460363144e-05	0.000312349215780312	0.337821115919906	P00550	18	-5.0727974999806	4.41773263302198e-05	0.00016650748725986
P0ADX7	-0.955655831738174	-1.3579840617455	-0.553327601730849	17.0535933524119	-4.94814640512301	7.30443518983431e-05	0.000269678072839585	0.506249387598937	P0ADX7	8	-5.07262979054114	4.41952352680419e-05	0.00016650748725986
