rowname	20230516_EXPL1_LiSc_SA_S610_RT_25_s2	20230516_EXPL1_LiSc_SA_S610_RT_26_s9	20230516_EXPL1_LiSc_SA_S610_RT_27_s12	20230516_EXPL1_LiSc_SA_S610_RT_28_s17	20230516_EXPL1_LiSc_SA_S610_RT_29_s24	20230516_EXPL1_LiSc_SA_S610_RT_30_s30	20230516_EXPL1_LiSc_SA_S610_RT_31_s33	20230516_EXPL1_LiSc_SA_S610_RT_32_s38	20230516_EXPL1_LiSc_SA_S610_RT_33_s44	20230516_EXPL1_LiSc_SA_S610_RT_34_s48	20230516_EXPL1_LiSc_SA_S610_RT_35_s51	20230516_EXPL1_LiSc_SA_S610_RT_36_s56	20230516_EXPL1_LiSc_SA_S610_RT_37_s63	20230516_EXPL1_LiSc_SA_S610_RT_38_s68	20230516_EXPL1_LiSc_SA_S610_RT_39_s72	20230516_EXPL1_LiSc_SA_S610_RT_40_s80	20230516_EXPL1_LiSc_SA_S610_RT_41_s81	20230516_EXPL1_LiSc_SA_S610_RT_42_s89	20230516_EXPL1_LiSc_SA_S610_RT_43_s92	20230516_EXPL1_LiSc_SA_S610_RT_44_s96	20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD	20230516_EXPL1_LiSc_SA_S610_RT_46_QC2_LabD	20230516_EXPL1_LiSc_SA_S610_RT_47_QC3_LabD	20230516_EXPL1_LiSc_SA_S610_RT_48_QC4_LabD
P09099	3234630	3138590	2843540	3087180	3033720	3204620	3146790	3083950	3044120	3213070	2308200	2381640	2236890	2386620	2261440	2264570	2300100	2217410	2171730	2211760	2929580	3205420	2301150	2407650
P0AA95	2353400	2261590	2997050	2270250	2405410	2325300	2362190	2671300	2575780	2492950	2903680	2986930	2781280	2589730	3300930	2688710	2973930	2806370	2946170	2875970	2538230	2544280	3018640	3156260
P0CG19	1387610	1200200	1340630	1382090	1433090	1306520	1309330	1130080	1167670	1267460	2478170	2632600	2202240	2237180	2432840	2367020	2249100	2520650	2340870	2332910	1448100	1190390	2176810	2295480
P09551	71130300	108631000	105577000	99557000	94006900	77728400	110165000	100029000	106248000	71447200	27764200	29746600	28333300	25505900	29688000	28839900	29614100	30640600	23420500	19339100	91225700	94119500	21446300	27768600
P0A6P7	7720380	8615950	9757440	8508490	8566570	8375410	8636870	8223470	7377350	7955510	7943370	8748250	8359120	7868570	8303480	8156380	8325260	8741460	8130290	7636630	8412030	8078620	8518090	8700740
P07026	139384	196881	138631	202055	158997	138830	187457	159091	143483	119185	220349	203406	210947	239814	210299	166309	202500	181885	173168	210057	160115	157228	218831	195718
P15067	4841490	4453980	4444630	4241150	4682740	4858320	4351100	3771250	4002670	4803440	3824170	3872670	3620930	3897240	4030790	3712820	4341190	4296330	4216510	4313980	5214790	4568430	4439580	3981270
P0A6B7	56033800	61458200	61946900	54398500	52207900	59042100	55650600	51768700	51751400	58601200	55718000	51527500	34638900	56813900	51448300	45304500	50979200	54374200	46893900	48217300	50528700	48744800	53259800	49281100
P0ADP2	3912540	3405420	3400640	3095590	2766850	3765110	3204870	2779010	2760360	3674210	2482920	2273100	2636810	2623120	2353460	2657480	2447590	2603820	2405540	2389060	3360820	3072810	2329410	2208620
P27296	486696	485781	434740	423912	431557	501997	415648	422083	432405	511833	359475	364912	281115	364764	379353	293024	393578	349655	331842	356071	526998	474651	362125	392030
