ID	ind.p.PDC000127	ind.p.PXD030344	ind.p.PXD042844	stat	pval	FDR	weight
ATP6V1A	2.5996864710606e-45	1.00718611279362e-97	2.25451505050712e-37	-27.5659513355774	2.84963125912588e-167	9.81707404633962e-166	NA
GRB14	2.9059871813052e-45	1.37983630181214e-34	0.000197900673044424	-17.2180213943437	1.94525422517873e-66	1.14860527575253e-65	NA
FERMT1	2.93840658543187e-45	3.30944494525736e-14	5.1404880156265e-25	-18.375882917801	2.04945763736454e-75	1.41772322201733e-74	NA
PCK1	2.93946563950303e-45	2.19737928441874e-121	9.20122773144362e-65	-31.4197300510442	1.08809018828701e-216	1.3476774189212e-214	NA
MRPL15	2.98203955244998e-45	6.54963286776803e-09	0.00427316017176959	-12.9225798364489	3.35694067395792e-38	1.15877938858189e-37	NA
MRPS17	3.69262862615564e-45	2.01084045278752e-07	0.177117486959322	-11.5743263736525	5.56063005267306e-31	1.61239674102594e-30	NA
MRPS24	3.88275068902794e-45	3.47310170611435e-15	1.329160502343e-23	-18.3479842527599	3.42588255580439e-75	2.36045576891317e-74	NA
GDPD3	4.14632413851198e-45	1.30296787118388e-17	0.153853001405465	-13.5837949424354	4.9968841820311e-42	1.87680805161919e-41	NA
ABCB1	4.19292788801868e-45	3.25504058373115e-09	0.0821314133982074	-12.2617429196082	1.45339762912533e-34	4.62703455735005e-34	NA
PARS2	5.17374309621078e-45	5.36106176168467e-09	4.2230972548252e-48	-19.787363447643	3.8253661786583e-87	3.27834511719613e-86	NA
ERBB2	5.17770605237503e-45	0.0039244380218738	0.000215234195306028	-11.6672091205857	1.87472867995521e-31	5.49737237493068e-31	NA
ETFA	5.20283389353244e-45	8.55398335223221e-85	7.42374801779702e-50	-27.8889490574809	3.63281446620929e-171	1.33083808825498e-169	NA
OTUD4	5.55768265615368e-45	2.6413181935689e-37	0.652590607863751	-15.2076970233148	3.14410515893055e-52	1.42843974120146e-51	NA
COX6A1	5.71831898178864e-45	5.93779887772126e-27	3.5459798322794e-45	-22.3801392218027	6.14523876446708e-111	7.59323801728212e-110	NA
TRMU	5.84902216184141e-45	1.54283408650876e-27	0.000834198124113898	-16.1508490624181	1.12009235745596e-58	5.71247102302537e-58	NA
FEN1	6.02569900952508e-45	1.71944771526844e-09	1.4763438182451e-10	-15.1431230393843	8.41221660085171e-52	3.7986415588221e-51	NA
CASP4	6.16385348814887e-45	2.83697146600459e-38	1.14038404831067e-20	-20.8695439215564	1.01295518156438e-96	9.81264963593652e-96	NA
TJP1	6.26136091074206e-45	8.85452572719488e-08	1.57279384448882e-25	-17.098084261667	1.53363188631362e-65	8.89403909989238e-65	NA
SLC25A10	8.07149537747779e-45	1.19837640130263e-53	1.52186116128433e-29	-23.4396675875783	1.68498204701939e-121	2.56294637678212e-120	NA
LPCAT1	8.50471019029827e-45	2.62890868146417e-54	3.10948289029181e-14	-21.3448913453106	4.34973257907795e-101	4.54363632055492e-100	NA
FASTKD5	8.83792854956957e-45	1.72340971849061e-37	0.957048580318061	-14.4428844081631	2.77961754647179e-47	1.15769179157296e-46	NA
ACSS3	8.93336482187405e-45	7.08789471401113e-32	1.02467292914973e-16	-19.572419699239	2.65759104466441e-85	2.21906719331368e-84	NA
MTCH2	9.3140818058048e-45	8.84442140823144e-21	6.84522922313232e-23	-19.0773807536997	3.89284617925474e-81	3.0090023513348e-80	NA
MRPL24	9.36175206017587e-45	0.358039192938018	3.86521790075189e-09	-11.6191177352967	3.29521509119197e-31	9.60858122442861e-31	NA
MTX2	1.25658048460831e-44	0.290293890077759	0.0369055029695245	-9.41445812132969	4.75528845698594e-21	1.02430685520666e-20	NA
ACOT13	1.34655071644429e-44	1.71307630025848e-92	7.03854000992059e-29	-26.2207472109597	1.5415144270948e-151	3.7825273819562e-150	NA
ENOSF1	1.37052130969418e-44	9.09025966345362e-41	9.254551613648e-33	-22.5977729701171	4.55785643902074e-113	5.91271052263987e-112	NA
MYO1F	1.40044050461304e-44	8.65780152602739e-88	3.5315946145409e-74	-30.0039505426225	8.71544003909582e-198	6.12671879505087e-196	NA
RAP1GAP	1.67284566133545e-44	1.82652532542672e-16	0.00253635092567412	-14.3745978023787	7.47027664679625e-47	3.08171127015338e-46	NA
ELMO1	1.70442278312966e-44	1.00803042579809e-52	1.45962541127284e-15	-21.4054650712234	1.18829394090317e-101	1.26153164909761e-100	NA
C8orf82	1.91998019722947e-44	1.32443539318648e-27	5.13640532702906e-14	-18.5890316543213	3.94231020867894e-77	2.81315469211904e-76	NA
SETD7	2.01626831957443e-44	6.9289696014103e-23	3.03056771554739e-10	-17.2628373909562	8.95980510343287e-67	5.3267321312066e-66	NA
CAMK1D	2.44700714686949e-44	1.69862475126119e-08	0.000284746240498775	-13.211978035766	7.48317916855786e-40	2.6883631239529e-39	NA
COL4A4	2.78172763628082e-44	1.66040604547694e-34	0.0275040110890346	-16.1789178832243	7.10318769694452e-59	3.64406138062184e-58	NA
GGT1	2.78437602026105e-44	4.78478417279932e-48	2.42315433884766e-31	-23.1006550702969	4.56031219222404e-118	6.60800669190793e-117	NA
FAHD2B	2.83750715931669e-44	3.58896352182964e-24	0.000195427769385691	-15.8934900687038	7.03020400860867e-57	3.46974584941009e-56	NA
PGK1	3.75765989607121e-44	3.36577503079215e-34	1.19515226981864e-20	-20.361967843362	3.63679792194444e-92	3.33661777600617e-91	NA
STK10	4.04380972275997e-44	1.34784259954453e-11	5.19405208995323e-14	-16.1546485526556	1.05317085923983e-58	5.38701554549225e-58	NA
PLIN2	4.37366331683418e-44	1.85381434521941e-32	4.22805643988235e-65	-24.6410106355684	4.59448260834702e-134	8.27006869502463e-133	NA
TUFM	5.07084656376681e-44	1.59972953781828e-91	6.05219685655747e-52	-28.4290743028885	8.84256047810607e-178	3.83324996725898e-176	NA
