Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P76217	-0.842633966836331	-1.04228318807785	-0.642984745594807	13.5743658338077	-8.72344635030455	3.48839167272033e-08	2.16126947810958e-07	9.59665077894147	P76217	3	-7.74585452239758	3.48839167272033e-08	2.16126947810958e-07
P08956	-0.441487226492601	-0.567955385104663	-0.315019067880539	16.5184097983317	-7.21528849856531	3.60278227163474e-08	2.22724632099525e-07	6.24034883558924	P08956	51	-7.73217555376566	3.60278227163474e-08	2.22724632099525e-07
P0AFI5	0.495498178598559	0.365503024559452	0.625493332637667	14.5051769596628	7.87828436867505	3.69617995757228e-08	2.27998496726395e-07	7.75224182147823	P0AFI5	10	7.7213326005726	3.69617995757228e-08	2.27998496726395e-07
P18335	0.434735923200481	0.312627171326819	0.556844675074144	19.4507111755885	7.3586049717466	3.71988487323908e-08	2.28959726149803e-07	6.5719049322278	P18335	29	7.71862519932174	3.71988487323908e-08	2.28959726149803e-07
P0A9B6	0.51286417947682	0.375970689647964	0.649757669305676	15.5258165807392	7.74348257518708	3.86589205767597e-08	2.37428098269903e-07	7.44941246471036	P0A9B6	11	7.70232900496267	3.86589205767597e-08	2.37428098269903e-07
P0AFQ7	0.739704135139839	0.533426756348829	0.945981513930848	16.6565258294064	7.41179153379952	3.88907088360424e-08	2.38332409149573e-07	6.69429338104197	P0AFQ7	18	7.69980002205687	3.88907088360424e-08	2.38332409149573e-07
P77302	0.574623209015019	0.418134988250122	0.731111429779917	14.9466286558955	7.58958909740704	4.48034282900913e-08	2.73971506181708e-07	7.1008175692304	P77302	11	7.64002704879588	4.48034282900913e-08	2.73971506181708e-07
P52073	-2.13078097931435	-2.57854602274236	-1.68301593588635	12.1626226097735	-10.0699088844822	4.55770912325885e-08	2.78099177888889e-07	9.3402120964646	P52073	2	-8.7934368831472	4.55770912325885e-08	2.78099177888889e-07
P0AF03	-0.622528025953581	-0.784712177058558	-0.460343874848605	17.2499287784604	-7.93354426593413	4.91754525265371e-08	2.99050875780893e-07	7.8756983536067	P0AF03	6	-7.60080983201692	4.91754525265371e-08	2.99050875780893e-07
P0AEQ1	-1.36039947926142	-1.73577460948894	-0.985024349033897	16.99065793582	-7.49061911382614	4.93226353429879e-08	2.99050875780893e-07	6.87502560329026	P0AEQ1	4	-7.59955246829384	4.93226353429879e-08	2.99050875780893e-07
P0A8N7	0.518488392122975	0.376818417850308	0.660158366395643	14.8085853394366	7.5644607911885	4.93290731600267e-08	2.99050875780893e-07	7.04360813945868	P0A8N7	12	7.59949755850337	4.93290731600267e-08	2.99050875780893e-07
P23872	-0.987367772232192	-1.25694633340685	-0.717789211057535	14.0798874940785	-7.57025223302785	5.02349197259804e-08	3.03888924265104e-07	7.05680065362237	P23872	5	-7.59184355058352	5.02349197259804e-08	3.03888924265104e-07
P0A9T6	1.17435030905176	0.848343498024096	1.50035712007942	14.5751386383563	7.44539504886837	5.29119755403513e-08	3.19397985114026e-07	6.77143447194116	P0A9T6	5	7.570022524087	5.29119755403513e-08	3.19397985114026e-07
P0A9X9	0.989928961394266	0.715366406521946	1.26449151626659	18.8814092466303	7.45211376140788	5.43492487519928e-08	3.27372932119376e-07	6.78684093493597	P0A9X9	6	7.55876847267159	5.43492487519928e-08	3.27372932119376e-07
P10907	-0.887956406191416	-1.06440571847466	-0.711507093908174	15.661754118315	-10.4013192886332	5.64827220716436e-08	3.39498493645977e-07	12.9845343129569	P10907	2	-7.54261226138755	5.64827220716436e-08	3.39498493645977e-07
P14081	0.259346481234115	0.180898634356179	0.337794328112051	16.7321708671323	6.83307338663282	6.10084954211325e-08	3.65921167217389e-07	5.34379055909946	P14081	45	7.51031266008289	6.10084954211325e-08	3.65921167217389e-07
P00968	0.466438730108969	0.327521631404538	0.6053558288134	20.490604071071	6.93993899988654	6.20076182236623e-08	3.71124152383236e-07	5.59623368964857	P00968	97	7.50351274676084	6.20076182236623e-08	3.71124152383236e-07
P0AAB8	-0.556280095701393	-0.70358452948785	-0.408975661914935	18.5986039690099	-7.80538725466256	6.39603329884769e-08	3.82000378590077e-07	7.58877322796552	P0AAB8	7	-7.49054037315744	6.39603329884769e-08	3.82000378590077e-07
P15032	-1.01166716768835	-1.2939070125997	-0.729427322777011	13.1650808981942	-7.40859892481731	6.9166308549834e-08	4.1221950063844e-07	6.68695690321898	P15032	5	-7.457841550601	6.9166308549834e-08	4.1221950063844e-07
P45771	-0.792649767634552	-1.00128293318644	-0.584016602082663	15.4727232187959	-7.85262290322151	7.07079882968553e-08	4.20518605503872e-07	7.69477599153518	P45771	4	-7.44864002017126	7.07079882968553e-08	4.20518605503872e-07
P75713	-0.842257866567826	-1.07334887046989	-0.61116686266576	16.1450717916716	-7.53318772342835	7.21211419286072e-08	4.28019998098408e-07	6.97229596990533	P75713	5	-7.44038400584117	7.21211419286072e-08	4.28019998098408e-07
P0AGD1	-0.849272508898249	-1.09187046908859	-0.606674548707905	16.6037664797932	-7.23563539408564	7.29480549404121e-08	4.32017997640802e-07	6.28757657929486	P0AGD1	10	-7.43562931589022	7.29480549404121e-08	4.32017997640802e-07
P37095	-0.476231695652437	-0.615905126198596	-0.336558265106279	20.0573735855274	-7.04727550033954	7.31742840214331e-08	4.32449280202138e-07	5.8484186790537	P37095	34	-7.43433811143866	7.31742840214331e-08	4.32449280202138e-07
P0A6E9	0.755014651201229	0.540226449896695	0.969802852505763	17.2010549645902	7.26543650115648	7.47640210893658e-08	4.40920032324105e-07	6.35665581859061	P0A6E9	10	7.42537816172679	7.47640210893658e-08	4.40920032324105e-07
P0AD01	-0.802294665776952	-1.030072293846	-0.574517037707907	15.0102758612715	-7.28013766640799	8.10551745094046e-08	4.77024085473928e-07	6.39069246899421	P0AD01	8	-7.39173494582514	8.10551745094046e-08	4.77024085473928e-07
P0A7V0	0.415745082563571	0.291282538520229	0.540207626606914	21.5516703227592	6.90407023120014	8.35785981620966e-08	4.90850142122813e-07	5.51165329895481	P0A7V0	46	7.37898457369028	8.35785981620966e-08	4.90850142122813e-07
P77375	-1.56243619832476	-1.98319402868413	-1.14167836796539	13.1302094902185	-7.67514940737249	8.47512469057866e-08	4.96702214194205e-07	7.2950033894279	P77375	2	-7.37319270934248	8.47512469057866e-08	4.96702214194205e-07
P77150	0.423498733224285	0.301430026622371	0.5455674398262	17.2552624202052	7.17074908116933	8.5350160056208e-08	4.99170294689005e-07	6.13678810445235	P77150	20	7.37026611725916	8.5350160056208e-08	4.99170294689005e-07
P31806	-0.414763746497126	-0.533355457495301	-0.296172035498952	17.4136475129577	-7.22875002952277	8.55265173234442e-08	4.99170294689005e-07	6.27160052443317	P31806	18	-7.36940834547147	8.55265173234442e-08	4.99170294689005e-07
P39280	0.513102216038748	0.376647254372949	0.649557177704547	15.3711445458489	7.77197351343858	8.74749273835753e-08	5.09487232013014e-07	7.51361345963771	P39280	7	7.36005013337611	8.74749273835753e-08	5.09487232013014e-07
P37342	0.628426598686541	0.446878481556649	0.809974715816434	15.4629199480781	7.15450452700241	8.94059759823934e-08	5.19660714009004e-07	6.09895614024767	P37342	14	7.35098316029929	8.94059759823934e-08	5.19660714009004e-07
P77619	-1.03106624559746	-1.30819882078443	-0.753933670410484	13.8494422127478	-7.68981240788489	9.02723289857031e-08	5.23616657223656e-07	7.32818751211794	P77619	3	-7.34698015772499	9.02723289857031e-08	5.23616657223656e-07
P33940	-0.835036449815949	-1.07867120698179	-0.591401692650104	15.9453560349315	-7.08407158562993	9.07357142467021e-08	5.25223775074853e-07	5.93454989749164	P33940	14	-7.34485515993067	9.07357142467021e-08	5.25223775074853e-07
P0AA53	-0.667494007351388	-0.855714377804063	-0.479273636898713	16.068218524388	-7.32989073017054	9.27268014297115e-08	5.35649289406469e-07	6.50568189608014	P0AA53	8	-7.33584886857312	9.27268014297115e-08	5.35649289406469e-07
P26459	1.66382895317876	1.25173555670404	2.07592234965347	11.195831117858	8.43992361680412	9.31213245053101e-08	5.36828249039814e-07	7.7504147790529	P26459	2	7.82696960599352	9.31213245053101e-08	5.36828249039814e-07
P24554	0.451648249795355	0.320755120659265	0.582541378931444	15.341881068639	7.13181772296359	9.42332492437426e-08	5.42129652281858e-07	6.04606646326644	P24554	19	7.3291650973154	9.42332492437426e-08	5.42129652281858e-07
P0A9D4	-0.583748043027072	-0.75041182598235	-0.417084260071793	17.0323486096966	-7.23937303259898	9.59356877011757e-08	5.50799803726302e-07	6.29624652327758	P0A9D4	11	-7.32174192564421	9.59356877011757e-08	5.50799803726302e-07
P32144	-0.426146898884648	-0.537788734898191	-0.314505062871105	14.9281699180776	-7.88949337076943	9.73424993612578e-08	5.57740865242654e-07	7.77731613543348	P32144	8	-7.31570864432539	9.73424993612578e-08	5.57740865242654e-07
P09373	0.418477976850056	0.289404010833455	0.547551942866657	21.4180980249283	6.70117108701656	9.97458772571673e-08	5.70352186588143e-07	5.03036648673073	P09373	119	7.30560468047391	9.97458772571673e-08	5.70352186588143e-07
P0A9A2	-0.55670396287892	-0.705388677335696	-0.408019248422145	15.0164541463841	-7.73881995761635	1.01014777153001e-07	5.76438576506698e-07	7.43889578438109	P0A9A2	6	-7.30037000880393	1.01014777153001e-07	5.76438576506698e-07
P37313	-0.462630787948854	-0.597515691165734	-0.327745884731973	18.1789098496284	-7.08904837934266	1.0265059273223e-07	5.84589941236682e-07	5.94618677754624	P37313	19	-7.29371993458537	1.0265059273223e-07	5.84589941236682e-07
P34209	-0.403855258405972	-0.51879850680965	-0.288912010002294	16.5428274893479	-7.26204655540359	1.04564047845543e-07	5.94286392896341e-07	6.34880347100143	P34209	15	-7.28607721155266	1.04564047845543e-07	5.94286392896341e-07
P64463	1.26496697372853	0.892962831526507	1.63697111593055	19.3691832502235	7.02826558838641	1.10910426093895e-07	6.29087507361549e-07	5.80385643392643	P64463	7	7.26171417125075	1.10910426093895e-07	6.29087507361549e-07
P0A7L0	0.391868753683855	0.272024928068795	0.511712579298916	21.8852528789873	6.75836627441429	1.11194907320573e-07	6.29434625977299e-07	5.16651911912066	P0A7L0	51	7.26065568929198	1.11194907320573e-07	6.29434625977299e-07
P0AAR3	0.559444874847298	0.395544662238305	0.723345087456291	16.678826131949	7.05495967818096	1.1275806960088e-07	6.37004004418601e-07	5.8664191770306	P0AAR3	16	7.25488847747744	1.1275806960088e-07	6.37004004418601e-07
P07649	0.490881530183287	0.351395526881634	0.630367533484941	14.399961438635	7.27382443421278	1.14485410427313e-07	6.45468743989192e-07	6.37607915960513	P07649	11	7.2486097613841	1.14485410427313e-07	6.45468743989192e-07
P0AAB4	-0.370619031854854	-0.481751778325888	-0.259486285383821	18.0322827286572	-6.892907066325	1.15528080653381e-07	6.50047224275211e-07	5.48529883437044	P0AAB4	30	-7.24486641797496	1.15528080653381e-07	6.50047224275211e-07
P0A8M6	0.479408127386321	0.342272554637195	0.616543700135447	19.1881267570335	7.22556847232011	1.17187751525941e-07	6.58072254086905e-07	6.2642163936243	P0A8M6	12	7.23897854964827	1.17187751525941e-07	6.58072254086905e-07
P07330	-1.835180051866	-2.33481384362477	-1.33554626010723	12.090112846261	-7.63065991637779	1.22037412036069e-07	6.839432694427e-07	6.71755862930791	P07330	2	-7.43421017864922	1.22037412036069e-07	6.839432694427e-07
P15034	-0.326840386284314	-0.424744017457641	-0.228936755110987	18.1592245114428	-6.90007273341062	1.23308312906402e-07	6.89219350933353e-07	5.50221753525356	P15034	28	-7.21797804354084	1.23308312906402e-07	6.89219350933353e-07
P0A7N4	0.573699537300637	0.406702639430894	0.740696435170381	20.5385364163185	7.10056404742285	1.23467815615943e-07	6.89219350933353e-07	5.97310144819753	P0A7N4	12	7.21744510611528	1.23467815615943e-07	6.89219350933353e-07
P0AED0	-0.626477935884193	-0.812583219395945	-0.440372652372441	21.6521725649409	-6.95767006420086	1.28862185387854e-07	7.17910080253675e-07	5.63798784610593	P0AED0	17	-7.199823475614	1.28862185387854e-07	7.17910080253675e-07
P37794	-0.663854724539856	-0.851057019828335	-0.476652429251377	13.6352911960085	-7.3295723208099	1.3791467014406e-07	7.66827327684624e-07	6.50494697430225	P37794	6	-7.17187964199695	1.3791467014406e-07	7.66827327684624e-07
P45527	0.822257869628807	0.581500814389546	1.06301492486807	13.9042690677202	7.05904205533127	1.46085934859799e-07	8.1066191017672e-07	5.87597939512653	P45527	7	7.14821958048655	1.46085934859799e-07	8.1066191017672e-07
P09053	0.418649174938402	0.29433366438952	0.542964685487284	17.4424447045646	6.96051982938967	1.49896431685079e-07	8.30172968409112e-07	5.64469513722673	P09053	19	7.13764442902848	1.49896431685079e-07	8.30172968409112e-07
P19636	-0.460279796918593	-0.593496140870788	-0.327063452966398	16.2088908699232	-7.14136376443449	1.50505879829613e-07	8.31913873018977e-07	6.06832882970496	P19636	12	-7.13597854162815	1.50505879829613e-07	8.31913873018977e-07
P0A8N0	-0.446660012721669	-0.561593825124463	-0.331726200318874	16.5066644136795	-8.0324127083324	1.51870801874568e-07	8.37815636955786e-07	8.09558567966765	P0A8N0	6	-7.13227246198704	1.51870801874568e-07	8.37815636955786e-07
P64557	-1.69943113722697	-2.11651460632885	-1.28234766812508	12.1888795694329	-8.54826135738565	1.52386068901313e-07	8.39016266079689e-07	7.6553578022048	P64557	2	-7.74356019527516	1.52386068901313e-07	8.39016266079689e-07
P0AGE6	-0.44275118926474	-0.56796782855722	-0.317534549972261	19.5098339504804	-7.30826768534249	1.5361056681946e-07	8.4410952800011e-07	6.45574475873525	P0AGE6	10	-7.12759758365709	1.5361056681946e-07	8.4410952800011e-07
P0ACY3	-0.408110525968819	-0.535065097308701	-0.281155954628938	19.2575342832069	-6.64425368726982	1.62028499417543e-07	8.88634902447574e-07	4.89450574609113	P0ACY3	48	-7.10571568806632	1.62028499417543e-07	8.88634902447574e-07
