Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P77221	-0.0609599195803181	-0.413069533585063	0.291149694424427	11.8206373622939	-0.362005056873556	0.721285747115796	0.788888826434937	-7.8854339189146	P77221	3	-0.352222461513334	0.728116452420327	0.79451347049266
P39836	0.133340326406909	-0.688258740365875	0.954939393179693	11.080819333495	0.339351451945457	0.738013608645021	0.80407038225831	-7.8937269736988	P39836	2	0.345790444565287	0.7328764603232	0.799398657378416
P27830;P37759	-0.057580509926634	-0.395414094484347	0.280253074631079	18.1738338600738	-0.356386152004252	0.725421842552671	0.792798484275829	-7.88754020939833	P27830;P37759	3	-0.344574861445546	0.733777296384944	0.800072233587291
Q47150	0.040550963699058	-0.211882801913918	0.292984729312034	15.9793321859302	0.335893708261541	0.740578943424816	0.806554159749973	-7.89494623523913	Q47150	8	0.342358298920653	0.73542094191554	0.80155489771111
P36566	0.0393558480944289	-0.168324314253018	0.247036010441875	14.0810720337925	0.396243723516287	0.696276504174472	0.767180978458333	-7.87189767092592	P36566	3	0.34133238263431	0.73618212884512	0.802074973710887
P0ACE0	0.0449559303603664	-0.244917256913768	0.334829117634501	16.4112638716626	0.324285163153089	0.749214081845701	0.814074862305602	-7.8989493138652	P0ACE0	18	0.339929706061445	0.737223305142144	0.802872916457169
P23367	-0.0218833578117259	-0.160239909965277	0.116473194341825	15.8226556581783	-0.330721451778507	0.744422103595465	0.810427147476328	-7.89674702357699	P23367	17	-0.339579784289881	0.737483125102654	0.802872916457169
P0AEB2	0.0549866528989114	-0.311454310413793	0.421427616211615	17.6697831558278	0.313762764916654	0.757070748378434	0.820764036728991	-7.90245751102027	P0AEB2	27	0.330597367919616	0.744163569481869	0.809833495266589
P0ADW3	-0.0236509193460641	-0.178725804454909	0.131423965762781	19.6885308307796	-0.318900128371875	0.753231431174052	0.818125216013663	-7.90075900355007	P0ADW3	17	-0.329130600679182	0.745256418707938	0.810710372277048
P0A927	-0.0199676966059421	-0.147645292796108	0.107709899584224	19.6220142563315	-0.327010280991908	0.747183874087765	0.812551152686149	-7.89802209114108	P0A927	13	-0.3268283854945	0.746972845436085	0.812245718868514
P18775;P77374;P77783	-0.100313806432023	-0.741879257345753	0.541251644481707	14.3758978667092	-0.326939863221988	0.747236311446859	0.812551152686149	-7.89804614740934	P18775;P77374;P77783	2	-0.326466127051713	0.747243051565297	0.812245718868514
P0AC30	-0.0463075625787273	-0.352327456334906	0.259712331177452	15.2334760002587	-0.316410143237649	0.755091461852908	0.819652036560985	-7.9015856479369	P0AC30	7	-0.324175324031345	0.748952515519963	0.813790651723115
P75828	-0.0203200062710156	-0.157807404401637	0.117167391859606	15.4595403317463	-0.309036003952476	0.760608936942047	0.823604155645836	-7.90399614629602	P75828	21	-0.321465232253945	0.750976572470929	0.815676092560732
P0A873	0.050279541960867	-0.282398346978294	0.382957430900028	14.3595568650341	0.316020685514063	0.755382527627712	0.819652036560985	-7.90171436317139	P0A873	5	0.320140847579459	0.75196637065651	0.816437151377926
P77774	-0.0299247152940829	-0.232296388681584	0.172446958093418	18.3675072745098	-0.309192135932974	0.760491978420277	0.823604155645836	-7.90394569214707	P77774	14	-0.319673573946139	0.752315698855715	0.816502510979453
P52062	0.0276057414426116	-0.156397910456801	0.211609393342024	15.4091774446318	0.313704760077266	0.757114134447245	0.820764036728991	-7.90247653262531	P52062	11	0.318947416627439	0.752858673273203	0.816777907538812
P0AD44	-0.0364131049509329	-0.277470731168152	0.204644521266287	14.4648345839083	-0.315852975373528	0.755507879308868	0.819652036560985	-7.90176974281117	P0AD44	7	-0.318359164862936	0.753298626733803	0.816941367855706
P0AF36	-0.0241175612848785	-0.186467183197434	0.138232060627677	19.6554755426934	-0.310620592877438	0.759422195515486	0.8229502226154	-7.9034829139656	P0AF36	12	-0.314867189051062	0.755912037784438	0.819460880884166
P76235	0.0342128892164375	-0.186010232272208	0.254436010705083	16.3197849903819	0.324844091616827	0.748797527643083	0.813935418808339	-7.89875976377958	P76235	5	0.314234132808562	0.756386141661521	0.819660193419852
P0ABP6	-0.0653633635499205	-0.460863934167906	0.330137207068065	12.0737383746625	-0.348254526696844	0.731855778564573	0.799211414797508	-7.83431330288222	P0ABP6	2	-0.314013001777156	0.756862817847342	0.819862139470999
Q93K97	-0.0201516424487185	-0.147912823893895	0.107609538996459	15.7940166593382	-0.329806844801094	0.745102406043904	0.81085518098959	-7.89706258129112	Q93K97	8	-0.308663434681582	0.760562326042656	0.823553684334532
P0A749	0.0277699102661266	-0.17005849019246	0.225598310724713	18.7257322027826	0.293517481241954	0.772262902080749	0.833937126021147	-7.90888501367968	P0A749	23	0.308073121790869	0.761005306805879	0.823717511084632
P18390	-0.0559334702061509	-0.454847863593191	0.342980923180889	15.6356421038633	-0.293183950918889	0.772513994926105	0.833937126021147	-7.90898734813982	P18390	8	-0.304737228444912	0.763510191175894	0.826112176199511
P02413	0.0432256747026045	-0.268424573593701	0.35487592299891	19.288298773239	0.290016320777602	0.774899971475342	0.835554608417856	-7.9099534981265	P02413	13	0.302736214149299	0.765014005788094	0.827422272058819
P62601	-0.028142704704532	-0.229533733262601	0.173248323853537	16.085348473148	-0.292195719079473	0.77325811995616	0.834421448512112	-7.90928988242537	P62601	13	-0.301186637115311	0.766179206314841	0.828365267470564
P0AD30	-0.096692758621824	-0.770816990411491	0.577431473167843	10.7788225853915	-0.305237157868377	0.7643042444042	0.827288304406846	-7.78576086231415	P0AD30	2	-0.300677108805469	0.767223796950749	0.829177191959018
P21361;P56614	0.116632616396247	-0.726910467723185	0.960175700515679	14.3962714550275	0.289108515750092	0.775584188316101	0.835973186184988	-7.91022846715913	P21361;P56614	2	0.295083811423462	0.770773699141903	0.832695075124994
P60340	0.0229240505723602	-0.14587299595777	0.19172109710249	16.403770947175	0.283971430708851	0.779459561274579	0.83918940184499	-7.91176835800919	P60340	16	0.293151429415528	0.772230294060639	0.833887586211911
P13458	0.0150290203248655	-0.0941895737244153	0.124247614374146	14.733747891755	0.287728065110633	0.776625000654704	0.836775658851157	-7.91064495999136	P13458	18	0.29283604905109	0.772468103941345	0.833887586211911
