Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval
P37325	-0.0299474602299235	-0.106550466229307	0.0466555457694597	19.1169792972117	-0.806907307923576	0.433022427562887	0.464478461713514	-8.11911015574588	P37325	7	-0.796935108672078	0.433022427562887	0.464478461713514
P0AC81	-0.0266280979479596	-0.0966454541150762	0.0433892582191569	24.6487256387569	-0.784953448943784	0.435387598643875	0.466835061350096	-8.13683591604155	P0AC81	13	-0.792793139973206	0.435387598643875	0.466835061350096
P41407	-0.0287815021005891	-0.105099113555595	0.047536109354417	22.1325946411008	-0.778391617690376	0.435707709512892	0.466997915678682	-8.14204388011249	P41407	17	-0.792233611049581	0.435707709512892	0.466997915678682
P37650	-0.0241007124812604	-0.0852904283396041	0.0370890033770832	17.7796131681565	-0.812944522727705	0.437316280618193	0.468541101889659	-8.11415444268366	P37650	7	-0.789425753451019	0.437316280618193	0.468541101889659
P0AFV2	-0.193730215733909	-0.725297733396262	0.337837301928444	15.9374676599979	-0.776908051450507	0.444809237410456	0.476385201794532	-7.88291315885207	P0AFV2	2	-0.78356888188666	0.444809237410456	0.476385201794532
P0A8B2	0.0248868532894875	-0.0416342126859513	0.0914079192649262	21.2979161664271	0.772183027653302	0.446201970345258	0.477692506624927	-8.14693321133979	P0A8B2	11	0.774027467732985	0.446201970345258	0.477692506624927
P06129	0.0161106105173587	-0.0287610619092387	0.0609822829439561	23.6562540237274	0.74105289130044	0.448647596262252	0.480125569477259	-8.17088584839851	P06129	34	0.769822025747043	0.448647596262252	0.480125569477259
P45531	0.0263114021031292	-0.0384640596730995	0.0910868638793579	19.1037957179569	0.838383916390339	0.450389043131689	0.481803461939718	-8.09288882169742	P45531	4	0.766835887283806	0.450389043131689	0.481803461939718
P33360	-0.0395768025924852	-0.148148767886931	0.0689951627019601	20.0628035709368	-0.752371731447462	0.453981756481271	0.485379539017333	-8.16228545858353	P33360	10	-0.760697136743435	0.453981756481271	0.485379539017333
P0C0L9	-0.0491821772967782	-0.178497972043135	0.0801336174495784	21.1167307804253	-0.784992743223358	0.454081650874645	0.485379539017333	-8.13680460402795	P0C0L9	3	-0.760526867220379	0.454081650874645	0.485379539017333
P39298	0.02014265191929	-0.0335787502221275	0.0738640540607075	19.6445335356245	0.773889176401902	0.455304133815566	0.486498951297926	-8.14559331180865	P39298	9	0.7584449628526	0.455304133815566	0.486498951297926
P0AE48	-0.0376605816952562	-0.14196068218732	0.0666395187968079	22.6922982569775	-0.745266776353299	0.462318322033637	0.49380364061769	-8.16769855515026	P0AE48	7	-0.74656361953898	0.462318322033637	0.49380364061769
P17443	-0.0119106929835837	-0.0460804792584921	0.0222590932913247	22.0193983196196	-0.719455988653055	0.464975286874369	0.496450537062788	-8.18694999980875	P17443	21	-0.742090923565442	0.464975286874369	0.496450537062788
P33916	-0.0208789972763022	-0.0792908553285307	0.0375328607759264	21.9976693730855	-0.73776505510266	0.468612250177993	0.500141332754367	-8.17336070783206	P33916	11	-0.735992886528462	0.468612250177993	0.500141332754367
P37340	-0.0664288419326411	-0.246535205879588	0.113677522014306	19.1087124671056	-0.761267145201525	0.472079813179357	0.503648563176747	-8.15543921234592	P37340	2	-0.73020471459753	0.472079813179357	0.503648563176747
P0A6P7	0.0188579145860075	-0.0360636451536451	0.0737794743256601	22.5573905163619	0.708696464266625	0.47794585672584	0.509591018331985	-8.19478331622332	P0A6P7	17	0.720469188350767	0.47794585672584	0.509591018331985
P52101	0.0306924534762381	-0.0561105515747487	0.117495458527225	18.5283354789539	0.729804118681101	0.478016935063577	0.509591018331985	-8.17930958474122	P52101	6	0.720351651245265	0.478016935063577	0.509591018331985
P0A9W0	0.0175754162704287	-0.0330711414609163	0.0682219740017737	20.7079655268003	0.716250850909813	0.479657922255816	0.511092064665647	-8.18929528138318	P0A9W0	13	0.717640881785457	0.479657922255816	0.511092064665647
P64616	0.0562049069982713	-0.0953809694830458	0.207790783479588	19.7246546859384	0.765288096887727	0.479793199034105	0.511092064665647	-8.15231937442203	P64616	2	0.717417656052122	0.479793199034105	0.511092064665647
