ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P00934	7.26539743360226e-06	2.42486229704188e-06	4.73439089684408e-10	3.33674365366733e-14	6.05786960131188e-11	-12.9499641573294	2.35063788751296e-38	1.65622926386234e-37	NA
P0ABF1	7.33417612416131e-06	0.266483600739738	1.70217426934186e-05	3.33876592532271e-12	2.91413388182624e-12	-10.2187643896198	1.63410471191359e-24	5.88277696288894e-24	NA
P31979	7.44844498908287e-06	2.45922786509677e-09	0.000827091212163255	4.15624771034079e-13	3.94774443933093e-14	-12.5015191390838	7.32382146049368e-36	4.30461342984118e-35	NA
P0A7M2	7.57287546531356e-06	0.226704831784705	0.000193110145127766	8.69314194973158e-12	1.04054382478856e-09	-9.54506524519099	1.36021955407309e-21	4.24079276398429e-21	NA
P77293	7.57667716004354e-06	0.00149217921134882	6.22857001341116e-11	2.68445277485862e-08	3.22785966243729e-10	-11.3355086283894	8.75221469774497e-30	3.99308963635731e-29	NA
P0AFC3	7.59375907353805e-06	0.157116322986423	2.54176139985842e-05	5.52837966081373e-10	5.67389218528977e-07	-9.09817587088617	9.18616553769274e-20	2.65224629058196e-19	NA
P0AED9	7.7273827967818e-06	4.59496193746801e-05	3.25161527395995e-07	2.21055581680508e-09	4.5378242926915e-11	-11.4298839609094	2.96504784793104e-30	1.38009499830972e-29	NA
P39099	7.74572997002512e-06	0.00890899340653086	2.9010077379053e-07	3.55634647089243e-09	3.46268179150299e-07	-10.0356256104633	1.06283495235172e-23	3.67132193436035e-23	NA
P0A6S7	7.8587872169783e-06	0.000196109581518495	2.04608358187112e-06	1.17956168420392e-10	2.04614616223185e-11	-11.3623210162198	6.44102737348485e-30	2.96802541370182e-29	NA
P0A953	7.9660292993887e-06	0.000624623976817417	6.09744855348525e-05	5.17021080126317e-10	1.99013882500659e-09	-10.4531850277373	1.41685471271321e-25	5.35152993129711e-25	NA
P63389	8.26411803595834e-06	0.000284306786779567	5.11103414707179e-08	2.14448259231799e-09	3.47956218954651e-13	-11.6852625365061	1.51610375938258e-31	7.52823935693421e-31	NA
