Symbol	metap	metafc	idx	ID
P33916	0.00619824815106183	0.0186602763368469	0.0411968712926982	P33916
P52086	0.00620610505052073	0.460801379275839	1.01707199261823	P52086
P0CE48	0.00630026969994489	-0.182642543302519	-0.401930643384697	P0CE48
P67697	0.00647016406907143	-0.378228798877191	-0.827974879158268	P67697
P21645	0.00649449422561499	0.0228024739616523	0.0498793780410297	P21645
P76176	0.00656765031317196	0.0252500705833414	0.0551105510185045	P76176
P37671	0.00671059888125485	0.0558091548996144	0.121286616352064	P37671
P31463	0.00671654041813207	0.419801674388973	0.912167901659761	P31463
P0A754	0.00674672085144221	-0.061638581752124	-0.133811644535443	P0A754
P76116	0.00693182702825441	0.210716614365344	0.454969258949786	P76116
P37642	0.00698289859876659	0.01164021030191	0.0250958774417492	P37642
P0A805	0.00710215872310628	-0.0924895061794084	-0.19872384328702	P0A805
P67603	0.00725553319994405	-0.077046790260679	-0.164828561144818	P67603
P65367	0.00727766812804615	-0.142269892125003	-0.304174132344811	P65367
P77295	0.00728307012519788	-0.24893205847583	-0.532138453982902	P77295
Q47689	0.00736729262586652	0.319245643686263	0.680852655801096	Q47689
P77473	0.00748740488285723	-0.542348216323398	-1.15285261800336	P77473
P0AGD3	0.00751143515812059	-0.215669082612028	-0.458140888500037	P0AGD3
P0AE76	0.00777862356261535	0.793900431865122	1.67441321379052	P0AE76
Q47158	0.00796401955607655	0.363456761717179	0.762847651048872	Q47158
P30860	0.00824902305329732	0.090922533800248	0.189445962545508	P30860
P0AF36	0.00827620120289677	-0.111327536989518	-0.231802741883427	P0AF36
P0ABR1	0.00829033346046055	0.256968431355262	0.534861288281906	P0ABR1
P32684	0.00845780829089732	0.0740871831809453	0.153563628318772	P32684
P0C0K3	0.00850442341112963	0.107869139729555	0.223327426339139	P0C0K3
P0AFP2	0.00856328481340107	-0.227582631229415	-0.47049514000912	P0AFP2
P28630	0.00875447739528277	-0.0164056882744985	-0.0337591294582262	P28630
Q47147	0.00889416277266487	0.108818490141099	0.223175289368295	Q47147
P64467	0.00894075341456791	-0.0678316692713509	-0.138961713340768	P64467
P0AD24	0.00894242587862059	0.0201279686825435	0.0412330425784096	P0AD24
P37195	0.00904209123640193	0.273086477075954	0.558115330331352	P37195
P33221	0.00916216071608423	-0.059829546552512	-0.121932741181577	P33221
P46850	0.00917446544143783	-0.261507607398527	-0.532800628340711	P46850
P76549	0.00932533240320899	-0.220267724144383	-0.447217419204262	P76549
P0AAX8;P39176	0.00955377699767413	-0.419874664050587	-0.848073301390699	P0AAX8;P39176
P0ABS8	0.00971214383871253	-0.110293245868372	-0.2219855498956	P0ABS8
P0A9R7	0.00978949303203499	0.0347188913341383	0.0697585782248825	P0A9R7
P77526	0.00982395895405891	-0.0757263792958846	-0.15203687104584	P77526
