ID	down_reg.pval	up_reg.pval	down_reg.FDR	up_reg.FDR	avgL2FC
P0A9U6	0.117214915733912	0.989915876364379	0.117214915733912	0.989915876364379	-0.60538762683003
P39404	0.991057220003424	0.125558992325062	0.991057220003424	0.125558992325062	NA
P37024	0.892075629771466	0.407116331168674	0.892075629771466	0.407116331168674	0.0708468154187934
P31801	0.134260381430494	0.989641217044951	0.134260381430494	0.989641217044951	NA
P46890	0.00767783748469478	0.99948070666099	0.00767783748469478	0.99948070666099	NA
P22523	0.954408147817603	0.307249285348498	0.954408147817603	0.307249285348498	0.138367124613715
P77781	0.976646695098654	0.194225034108976	0.976646695098654	0.194225034108976	0.207547832568824
P67826	0.611682466263778	0.822573742841471	0.611682466263778	0.822573742841471	-0.173161951182746
P0ABE5	0.999371290115758	0.0213230577103452	0.999371290115758	0.0213230577103452	NA
P30749	0.633778848918888	0.805390667352681	0.633778848918888	0.805390667352681	-0.158935481930273
P0AE52	0.679217815556714	0.73684756146034	0.679217815556714	0.73684756146034	-0.130517892652616
P03030	0.489927916876847	0.87364560148088	0.489927916876847	0.87364560148088	NA
P10100	0.587793913240612	0.833696411244844	0.587793913240612	0.833696411244844	-0.178873473361268
P76569	0.598643806684074	0.781902482908724	0.598643806684074	0.781902482908724	-0.185212555259456
Q46819	0.400392784134869	0.931383187935936	0.400392784134869	0.931383187935936	NA
P0A862	0.482931600833429	0.887497407542961	0.482931600833429	0.887497407542961	-0.253547220679582
P77357	0.030104546361539	0.998654825331868	0.030104546361539	0.998654825331868	NA
P75966	0.92108197331781	0.387206451071961	0.92108197331781	0.387206451071961	0.0882769695401971
P36995	0.999599125114434	0.0149268989522018	0.999599125114434	0.0149268989522018	0.518762061277052
P0A6I0	0.47346197076476	0.88347891842224	0.47346197076476	0.88347891842224	-0.259566376811427
P76187	0.702436998048507	0.696824970296269	0.702436998048507	0.696824970296269	-0.10035573818024
P0A8G6	0.817104419999896	0.619000518114788	0.817104419999896	0.619000518114788	-0.0261502038219809
P67762	0.913488738424866	0.335269270251255	0.913488738424866	0.335269270251255	0.103076736981549
P0AD96	0.727281294572263	0.717580145380672	0.727281294572263	0.717580145380672	-0.099079364962654
P0A7B8	0.793020462102324	0.643513862662718	0.793020462102324	0.643513862662718	-0.046394185711496
P00579	0.909089099016482	0.448475901830502	0.909089099016482	0.448475901830502	0.0638008593862551
P0ADC6	0.579740734209815	0.84385088372705	0.579740734209815	0.84385088372705	-0.191765748450164
