Symbol	signcon	randomSummary	randomCi.lb	randomCi.ub	randomP	het_QE	het_QEp	het_QM	het_QMp	error	rank	ID
P76445	4	0.785673281276452	0.631936094564826	0.939410467988077	1.29136151753491e-23	4.64852526269711	0.199418649252185	100.328031535573	1.29136151753493e-23	FALSE	490	P76445
P06846	-5	-0.195075142569125	-0.233247386726668	-0.156902898411582	1.29401952015523e-23	1.27659342851883	0.865334102467564	100.323958998291	1.29401952015524e-23	FALSE	1541	P06846
P21338	5	0.309783508992246	0.249065880473948	0.370501137510543	1.52695528245553e-23	5.6375654816181	0.227899389119521	99.9961248684946	1.52695528245553e-23	FALSE	1191	P21338
P05719	5	0.706999488501488	0.568283025409559	0.845715951593417	1.69613875659939e-23	24.7913721615775	5.54098401507851e-05	99.7880112739148	1.69613875659938e-23	FALSE	542	P05719
P0AB65	-5	-0.562988503323301	-0.673478761070064	-0.452498245576538	1.74221788116683e-23	7.97856859097388	0.0923664165392661	99.7349240499504	1.74221788116683e-23	FALSE	714	P0AB65
P0AEE1	-5	-0.20371398272001	-0.243769373299072	-0.163658592140949	2.1042667845978e-23	1.07927583009515	0.897546233438412	99.3609921397168	2.10426678459778e-23	FALSE	1507	P0AEE1
P00936	5	1.31437706134366	1.05583808995094	1.57291603273637	2.18646549438786e-23	83.8849076480816	2.61523430291731e-17	99.2851030890987	2.18646549438785e-23	FALSE	258	P00936
P42620	-5	-0.358046306022274	-0.428551613484527	-0.28754099856002	2.44047433374407e-23	5.58989200532035	0.231940171865685	99.0674433684607	2.44047433374403e-23	FALSE	1073	P42620
P33030	5	0.276832433023682	0.22227067364205	0.331394192405315	2.66892774970935e-23	7.722520175832	0.102288052033569	98.8902305444465	2.66892774970932e-23	FALSE	1273	P33030
P00895	5	0.274763422322369	0.220601678652086	0.328925165992652	2.70744905857077e-23	4.1841493642861	0.381657221792057	98.861851855441	2.70744905857076e-23	FALSE	1280	P00895
P30178	5	0.335945178001768	0.269454338271481	0.402436017732055	4.05087392508384e-23	5.11872520062013	0.275331041962694	98.0639471734052	4.05087392508386e-23	FALSE	1124	P30178
P17115	-5	-0.314339448806349	-0.37656218371975	-0.252116713892949	4.10368479759829e-23	4.78026623802057	0.310595477082962	98.0382983583783	4.10368479759833e-23	FALSE	1181	P17115
P77368	-4	-0.569525211958473	-0.682325620856583	-0.456724803060362	4.34178603571652e-23	1.6155507929167	0.655868944672924	97.9266150451808	4.34178603571651e-23	FALSE	707	P77368
P77791	-5	-0.538338831367777	-0.645066943424422	-0.431610719311131	4.78302611052107e-23	10.4599188714671	0.033353598410557	97.7349606786203	4.78302611052112e-23	FALSE	746	P77791
P38035	2	0.92003055169461	0.737404789024753	1.10265631436447	5.40276354323974e-23	0.153973800515255	0.694766413281938	97.4937095960908	5.40276354323982e-23	FALSE	407	P38035
P69411	-5	-0.514463195483694	-0.616689110761782	-0.412237280205607	5.9783260386892e-23	11.0075414903025	0.0264793890102005	97.2932673945037	5.97832603868916e-23	FALSE	784	P69411
P23256	-5	-0.906614015724259	-1.08683574331674	-0.72639228813178	6.22396979947074e-23	27.2184052523798	1.79566331013862e-05	97.2135365029129	6.22396979947069e-23	FALSE	415	P23256
P0AFI0	-5	-0.96881203672625	-1.161404453097	-0.776219620355503	6.24502368012929e-23	9.32090707099769	0.0535601736210185	97.2068499384173	6.24502368012929e-23	FALSE	381	P0AFI0
P0A948	5	0.325680305181882	0.260923826534627	0.390436783829137	6.37635501418054e-23	2.3321454713947	0.674922771648358	97.1656422691536	6.3763550141805e-23	FALSE	1154	P0A948
P0AAX8	-5	-0.17909441314827	-0.21474828984032	-0.14344053645622	7.19150858976557e-23	0.450994354607807	0.978092965592279	96.9274399318766	7.19150858976555e-23	FALSE	1604	P0AAX8
P0AB52	-5	-0.74187193167619	-0.88960732688033	-0.594136536472049	7.40682596879487e-23	9.89755109934486	0.0421892368565601	96.8690288243817	7.40682596879494e-23	FALSE	521	P0AB52
P30138	-5	-0.651849482815983	-0.78191756287045	-0.521781402761516	9.00278122101999e-23	7.29066978796902	0.12130206653907	96.4826833285271	9.00278122101991e-23	FALSE	605	P30138
P0A9C9	5	0.592346476884156	0.474029406342278	0.710663547426033	9.95438467290357e-23	39.4739423474758	5.56016466839004e-08	96.2837474348639	9.95438467290357e-23	FALSE	671	P0A9C9
P0A8L1	-5	-0.377111927226948	-0.45245692877039	-0.301766925683507	1.02084900180645e-22	6.04075444860992	0.196125309631467	96.23384242147	1.02084900180644e-22	FALSE	1039	P0A8L1
P45425	-5	-1.39364315095397	-1.67241620053267	-1.11487010137527	1.14543458697445e-22	45.757448210482	2.76635228949125e-09	96.005868266647	1.14543458697445e-22	FALSE	239	P45425
P45766	1	1.39833325489049	1.11839153865151	1.67827497112947	1.24061541840617e-22	0	1	95.8478361180007	1.24061541840618e-22	FALSE	238	P45766
P0AG71	-5	-0.994295724537055	-1.19347572370612	-0.795115725367991	1.31848744954351e-22	35.2069700873773	4.2120924295894e-07	95.7273140514844	1.31848744954349e-22	FALSE	373	P0AG71
P77316	-5	-2.36599776384461	-2.84057561289374	-1.89141991479548	1.49434368467866e-22	16.785557830094	0.00212743612490227	95.4794512766214	1.49434368467867e-22	FALSE	101	P77316
P18811	-5	-0.255745051507045	-0.30710901259135	-0.204381090422741	1.69129558848425e-22	1.34597164671375	0.853528901342781	95.2343547981581	1.69129558848424e-22	FALSE	1333	P18811
P38038	5	0.388518680352947	0.310277487332027	0.466759873373867	2.19134010545944e-22	11.570320784652	0.0208495594581428	94.7216084287218	2.19134010545941e-22	FALSE	1020	P38038
P0A9V8	-3	-1.00343303365397	-1.20564976033445	-0.801216306973493	2.34363630322548e-22	0.863426699132646	0.649395499509341	94.5886044947533	2.34363630322546e-22	FALSE	370	P0A9V8
P76350	3	0.933536213281912	0.745328383883645	1.12174404268018	2.43713007018438e-22	1.63563108538467	0.441394810255516	94.5111720858577	2.43713007018439e-22	FALSE	402	P76350
