	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P42596	9.406046577928896	17.468384949095725	22.81256423245194	0.42561024738664344	0.335772648901987	0.5154478458712999	1.0608838021105716e-14	3.2572900891304774e-15	97.4	8.0	9.464895650918272	1.8519078377381987e-15	6.018186624747442e-15
P42597	4.652781870505701	16.949499663683195	0.66048900449257	0.2337115947587023	0.13310213240980232	0.3343210571076023	3.3870363580799046e-05	2.0278260709405983e-05	59.4	2.0	4.13468317625402	0.00011328424529766054	0.00017842725671412052
P42599	-12.288488952995674	18.13563382921269	36.83093239147805	-0.8019519676654525	-0.931521549450781	-0.672382385880124	1.2313293116765575e-20	2.720867707154142e-21	97.4	4.0	-12.3147437691487	1.4286376517829386e-21	6.435463145262222e-21
P42604	-8.54678043084151	16.98899141425514	18.611726085319425	-0.46753519634171425	-0.5761439791465748	-0.3589264135368537	6.269196087683445e-13	2.1903646167008758e-13	97.4	5.0	-8.564757589274045	1.6241295814168537e-13	4.643995521863816e-13
P42616	-6.044376163039192	19.23029038344427	6.8852822419089925	-0.3158728917757401	-0.41962909119833436	-0.21211669235314579	6.127969796099382e-08	2.976083691958102e-08	97.4	5.0	-6.0492510770529	2.699529353433122e-08	5.562436275054314e-08
P42620	-11.478153286243801	19.5580772913558	32.93594345407318	-0.3784828515093537	-0.44395059465450654	-0.3130151083642008	5.481394429557757e-19	1.3216750229739672e-19	97.4	18.0	-11.632602128905283	3.975990478589177e-20	1.6702582670457834e-19
P42624	-6.707650923182078	16.25555987057308	9.64379180099645	-0.6579600343832901	-0.8529150221612704	-0.46300504660530983	4.196205398305359e-09	1.881700030046085e-09	90.4	2.0	-6.654549248888336	2.1327440239904098e-09	4.720086547425488e-09
P42625	-8.465467848075692	15.566122251644764	16.196690805850025	-1.0689885694379164	-1.3209448602549412	-0.8170322786208917	8.127795668253048e-12	3.011836851111529e-12	71.4	2.0	-8.469431180769757	2.1636160804272707e-12	5.844416712254035e-12
P42626	6.256363658452167	16.907744205050424	2.9845680421959973	0.33826070401292085	0.22560869602590344	0.45091271199993826	6.717429801197216e-06	3.817555734013718e-06	23.4	3.0	5.383394585204364	1.7131854514219704e-05	2.8945222168283494e-05
P42628	1.798111044014009	15.501955902171764	-7.0066453407586575	0.19638011476796713	-0.02483710487138402	0.4175973344073183	0.09617372677972476	0.08024331097092473	40.4	2.0	1.7652041167965675	0.0850876745958343	0.10172997599697951
P42630	-0.6232842226961081	12.714001786030359	-8.314249686600924	-0.11187083037963497	-0.47648815497442815	0.2527464942151582	0.5724015923561206	0.5372129698752116	37.4	2.0	-0.6320476522058283	0.5312007112269161	0.5668205839914032
P42632	0.783516077425493	19.03759742634914	-8.017218753109761	0.12258895722006002	-0.18852938270971192	0.43370729714983197	0.4714223777088443	0.43551828268525405	87.4	2.0	0.7803215663713811	0.437309860619556	0.47371190229155014
P42641	9.848228923471932	20.34267897441332	24.98161111388604	0.23765836387716632	0.1897459390618977	0.28557078869243496	1.275521897052178e-15	3.720272199735519e-16	97.4	14.0	9.8994030326778	2.1239683685683437e-16	7.316446333138953e-16
P42904	-10.417390626429308	16.74043956992616	27.313430882276926	-2.272982611930214	-2.7064336640510493	-1.8395315598093784	1.340242162724176e-16	3.721369119859136e-17	93.4	2.0	-10.538859017729141	1.4236841535768376e-17	5.197689777647108e-17
P43329	16.074287161263744	20.128514495277237	54.124161635115016	0.39906352124709343	0.34977299091886016	0.4483540515753267	6.331940853932836e-28	9.125953006692816e-29	97.4	48.0	16.446840039154385	7.305197283291416e-30	5.179084175660355e-29
P43337	-7.511893199931611	19.234707686774144	13.628811913943087	-0.20277112213207715	-0.2563643460416731	-0.14917789822248123	8.254574600439647e-11	3.270254964655051e-11	97.4	5.0	-7.229587953707536	1.09998580651852e-10	2.66178383593903e-10
P43340	5.057414804924345	17.414908142177385	2.718460693223502	0.20493430193140938	0.1244818537539244	0.28538675010889436	3.7331945714974938e-06	2.0846219687153015e-06	97.4	5.0	5.012519062733691	2.4057901621603336e-06	4.297836238441402e-06
P43341	-0.434473678075606	16.962738772191763	-8.597563549273165	-0.032352590573282214	-0.18068048169778506	0.11597530055122063	0.693943294227888	0.6651859646469809	78.4	3.0	-0.43310137563113754	0.6661303481581231	0.6950925372084763
P43531	-16.6243020674164	14.870798610088196	52.25771264668088	-1.9203300311976008	-2.1501499250491185	-1.6905101373460831	4.5545267287746175e-27	6.8597892328879985e-28	84.4	2.0	-16.593988160735787	2.6417769683096826e-28	1.750027819730939e-27
P43533	-11.733950465386677	15.714254839615727	34.021089116687676	-1.4642511807117131	-1.7120418368024355	-1.2164605246209907	1.9179895339472188e-19	4.513301874623066e-20	96.4	2.0	-11.753398437403268	2.5617671630349112e-20	1.0902404438032295e-19
P43671	7.110420086939328	19.18524782126781	11.736200941167299	0.17845162095249378	0.12862305133515275	0.2282801905698348	5.252938987401345e-10	2.2012828338597852e-10	97.4	17.0	7.185096721441681	1.3610256558298912e-10	3.2745136567542494e-10
P43672	17.60333980509837	19.602395607308573	60.61455061027894	0.40325205810029274	0.35777056608397273	0.44873355011661276	1.1493244179085968e-30	1.4405808106982754e-31	97.4	24.0	17.89494473780614	1.4900676409263946e-32	1.2289910007415446e-31
P45395	-1.8292554106385113	20.166120798252486	-7.053282532191903	-0.053972721721230243	-0.11255323247371175	0.0046077890312512665	0.0852522747442605	0.07051947043394773	97.4	12.0	-1.8393267835975542	0.06891339675259295	0.08344848043490163
P45424	-6.771983085621035	17.616132820352085	10.165383444533179	-0.6817918206455715	-0.8816809172168699	-0.48190272407427315	2.4427591564463352e-09	1.0745470606225683e-09	97.4	2.0	-6.7330594876566146	1.158731416270722e-09	2.623948636381032e-09
P45425	-27.109549037300226	17.54751995696187	94.17995855022515	-1.3980677331329616	-1.5004723442007293	-1.295663122065194	8.268479227692887e-45	4.8571667594370784e-46	96.4	2.0	-25.462972826495577	1.378677815974733e-44	2.0915899715927557e-43
P45463	12.654244492250111	15.246271038460325	28.703183701449344	0.8708206149786193	0.7327530779875913	1.0088881519696473	5.490985022518132e-17	1.487141776931994e-17	55.4	2.0	11.894463027245624	6.966374816814981e-17	2.47242975316779e-16
P45464	-11.952414985286044	20.734446146975785	35.222018506928435	-0.4407161510381101	-0.5139238044456673	-0.36750849763055293	5.910734917350075e-20	1.3525247249400785e-20	97.4	22.0	-12.138754115920312	3.357157097830657e-21	1.4826177952410505e-20
P45468	-0.2249458565015594	15.23733468546411	-8.640803377734972	-0.03588128188762951	-0.3539085746949876	0.2821460109197286	0.8416355630612731	0.8226642696316132	74.4	2.0	-0.22678576606579667	0.8212122970526983	0.840610342766594
P45469	-12.789897337946773	17.904718569943963	39.21225769069071	-0.5410914384929058	-0.6250870868768993	-0.4570957901089122	1.230062801044653e-21	2.5370462932672215e-22	97.4	5.0	-12.701715003300873	2.2049637115592787e-22	1.0497778451131006e-21
P45470	-15.920162802946423	20.70066546457833	53.45355994109704	-1.103952837106398	-1.2416281900141413	-0.9662774841986547	1.2189465616050486e-27	1.777630402340696e-28	97.4	12.0	-16.143726338493536	2.7632470150297713e-29	1.9172481658784766e-28
P45472	1.0175916770945157	16.85900397208402	-7.931255038707357	0.08647359723452652	-0.09058595148802953	0.26353314595708255	0.35473282491301245	0.3208102870114949	23.4	2.0	0.8902410730163159	0.3823982969957457	0.41762857650262714
P45475	8.087290781167368	15.555781508886607	16.11768678712798	0.8455456984696497	0.6378139542722163	1.053277442667083	7.598590847566776e-12	2.807949213479253e-12	92.4	2.0	8.042065831078219	2.872035796710814e-12	7.700843235136688e-12
P45522	1.2361383709568656	17.116222111215762	-7.809202675718084	0.13299001550880618	-0.0855638645765408	0.35154389559415317	0.25494107177256065	0.22479020378073514	37.4	2.0	1.2064375144132073	0.23522504461297178	0.2659223670373673
P45523	-4.99315828452297	23.52873217442769	2.4611134644076174	-0.27146302607195594	-0.37940454760084846	-0.1635215045430634	4.81680264884458e-06	2.7143867385906955e-06	97.4	15.0	-5.063991604452365	1.9439602735909564e-06	3.4919728104750428e-06
P45524	11.583400397632966	16.995763797694256	33.299102786384566	0.5092348795280017	0.42193861363148677	0.5965311454245167	3.888717454189006e-19	9.270234914699201e-20	96.4	2.0	10.593719085412827	7.56074131616983e-18	2.805811226076713e-17
P45527	11.014338108281443	16.556494094473887	30.685016301245767	0.8122809494823429	0.6658607322188841	0.9587011667458016	4.913878455589786e-18	1.2486084600269128e-18	97.4	3.0	10.991558442501548	9.34709268336754e-19	3.658861948783444e-18
