ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P0AB77	6.26345567160329e-17	6.96236399116056e-17	2.4131270045893e-16	1.09570411590362e-16	4.10309071327605e-20	383.72601148817	2.72778628857704e-76	1.48367854217821e-74	NA
P77318	6.36297140608932e-17	7.40011054493966e-19	2.53284023598533e-20	2.63875691597861e-22	1.85694289880457e-19	433.960365683052	5.49814124088507e-87	1.2505772167904e-84	NA
P06959	9.56145532200027e-17	7.46324909210253e-14	1.13514439129306e-15	5.08101108184748e-17	3.77910118523296e-22	376.740491541982	8.33586375526814e-75	3.93515681427941e-73	NA
P0A9P6	1.21123601724327e-16	1.64455184995198e-17	2.56194892374461e-15	5.89926799222702e-18	4.44826127951396e-22	395.460538181041	8.70455329745769e-79	6.80587260944973e-77	NA
P0A9D8	1.43396496311375e-16	1.56995541353481e-14	7.75752449128624e-18	4.44792489741842e-23	2.54167149799609e-19	403.894489918545	1.39576066937766e-80	1.29340488695664e-78	NA
P00864	1.8333279206559e-16	2.87174829478683e-16	1.88365780664727e-14	6.83730536234117e-21	7.74221228229837e-19	383.517934878365	3.02034338842234e-76	1.60785088464525e-74	NA
P0AB91	2.32145020818399e-16	1.09881615203796e-09	1.16567478258803e-14	7.62202145317859e-18	3.83241303620108e-21	350.274750818519	3.48404494161185e-69	1.1469842689359e-67	NA
P27550	2.54054709708522e-16	1.79226955933077e-20	3.49193087281351e-19	7.26999414203405e-18	1.17224982525264e-21	423.068002812954	1.15215506892319e-84	1.92179465496388e-82	NA
P0A6J5	2.65651385727376e-16	8.68470661127027e-18	2.31661400351256e-16	1.01835032223946e-18	1.44066843295233e-15	373.505173193107	4.06058939057281e-74	1.80197341771816e-72	NA
P77348	2.69407533672066e-16	1.17374871462619e-10	6.92882775859563e-14	2.69670017225737e-17	1.14710353462142e-16	327.744988957618	2.08717149840892e-64	5.32867662144808e-63	NA
P37685	2.80753358135828e-16	1.16366225523164e-19	1.15413541592066e-16	1.85206362783059e-17	1.13742996779093e-17	387.294862172116	4.7516227486515e-77	2.97214002928151e-75	NA
P39396	3.30719557495851e-16	1.81210953714208e-13	2.81306053239245e-21	9.16947718593048e-18	5.12937397704142e-16	373.48283728728	4.10521522022123e-74	1.80197341771816e-72	NA
P0A9G6	4.98511219516937e-16	6.33047596599081e-18	3.65010039888377e-18	1.36355682646818e-19	2.7987228171345e-20	406.898795355656	3.20069348488536e-81	3.48179786921007e-79	NA
