	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value
prt3392	-0.566100503706688	0.11735028513233087	-6.685969347956448	-0.09792581137977618	-0.43778982055449694	0.24193819779494458	0.9713002573232371	0.5715796598883891
prt3393	-0.36392168595050256	0.3750646078167233	-6.8400097257261505	-0.024854105651876623	-0.15901803554380403	0.10930982424005078	0.9819917363488662	0.7160622878418355
prt3394	-2.616571151734833	1.1636471450451698	-3.476686479753609	-0.694236712778602	-1.2155284074846548	-0.17294501807254925	0.15210859357716106	0.009151867046892524
prt3395	-0.7966427258091042	2.921470358663231	-6.611722298724675	-0.05557226250523395	-0.1926070009585645	0.08146247594809661	0.9304271475500205	0.4260135395253335
prt3396	-0.31605004799241504	3.371767566256118	-6.875982028793158	-0.048587232767300925	-0.3505828513283871	0.2534083857937853	0.9819917363488662	0.7520881134544076
prt3397	1.6100061524403098	-2.3562111100380596	-5.437077230584887	0.25606832065568597	-0.05660012583326185	0.5687367671446337	0.699441744896101	0.10818032321059697
prt3398	1.3791159477657178	4.489419679168819	-6.001160811355547	0.13684382620229263	-0.058070688722905384	0.33175834112749064	0.7873893197602128	0.16842827296177224
prt3399	-0.500613236694599	-2.06089273370792	-6.757700962865594	-0.04845952790263508	-0.23872965687277958	0.14181060106750942	0.9724364396417231	0.6169039772244882
prt34	8.59527377116969	2.363687106008029	27.352152142315973	1.0615448024131457	0.8189208152446185	1.304168789581673	9.354767157352544e-15	9.666592729264296e-17
prt340	2.061969006542157	-0.07275114568311082	-4.735372670188644	0.3793014638488412	0.01788833526768291	0.7407145924299996	0.4384563244740854	0.039727300214732426
prt3400	0.30434241324631495	1.5856353277693944	-6.821416646296963	0.03428276987394607	-0.18699541235895334	0.2555609521068455	0.982944711078895	0.760984593063015
prt3401	0.8865995007672592	-0.9459366982829931	-6.434673883636857	0.11595888106171648	-0.1410135809417749	0.37293134306520787	0.9076464743799737	0.3757246019186966
prt3402	0.09043202390996732	-0.8894243346951628	-6.870041206575341	0.013076333269574691	-0.2710411232134625	0.2971937897526119	0.9967332834729503	0.9279812771164238
prt3403	1.8013840639695269	3.2066684408198425	-5.351518208843069	0.21452967922271027	-0.019413229028586748	0.4484725874740073	0.6136681139387771	0.07220363652048513
prt3404	-0.15534322029096556	0.6262686936398921	-6.7990452812632505	-0.020582889201408605	-0.28089897017463333	0.23973319177181612	0.9949124049355518	0.87661262280989
prt3405	-0.10354223949487688	-0.14046431754708938	-6.872750135368185	-0.020620776751395287	-0.4119214082941563	0.3706798547913657	0.9967332834729503	0.9175750282311531
prt3406	-1.1600430748395887	-1.8867153213848649	-6.060046316618064	-0.11586072642491452	-0.3121525562225387	0.08043110337270967	0.8433040770305275	0.24665809782097925
prt3407	1.2798049764357362	2.065222617710492	-6.054195289922691	0.1854802711719039	-0.09924026205697112	0.47020080440077894	0.8153700738973515	0.20118709096237203
prt3408	0.5534458004722108	-2.1543703234220453	-6.706744870685044	0.0721881232270471	-0.18431872102376717	0.32869496747786137	0.9713002573232371	0.5803011897018795
prt3409	0.39679372079459246	-0.7967900651859262	-6.85324615899636	0.03586197164137139	-0.14168414075445782	0.2134080840372006	0.9762589034886358	0.6916794331216984
prt341	6.4122918256601835	2.081859420698174	12.780053777139152	0.6926295470466645	0.4804427359268406	0.9048163581664883	1.3038122933907922e-08	3.150879709027748e-10
prt3410	-0.23175467285153323	-1.1356852585400923	-6.889444351755028	-0.025032758088295415	-0.23731560991943243	0.1872500937428416	0.9891044679429681	0.8168354397762345
prt3411	1.3402947659986724	-3.751697599962302	-5.73534432530355	0.14960489119012266	-0.07009265435655707	0.3693024367368024	0.8021836664979194	0.1812074883087604
prt3412	0.07350314673697009	-4.080218675397611	-6.715622833948227	0.007848951413869987	-0.20233439243060902	0.218032295258349	0.9967332834729503	0.941457197753589
prt3413	0.022251578353825567	-0.7251574225700078	-6.900559787146397	0.002673020987671304	-0.2333427252689779	0.2386887672443205	0.9995291464540942	0.9822561411572204
prt3414	0.02022969621203665	-0.12893049519536312	-6.915363595415909	0.0017827775658529402	-0.17133225848318875	0.17489781361489462	0.9995291464540942	0.9838676448210129
prt3415	-0.026851482355983936	-0.0860097239674211	-6.919800010216861	-0.0026486137591605896	-0.19642365038008355	0.19112642286176237	0.9995291464540942	0.9785883639463966
prt3416	-1.270387290694073	0.7553634853001338	-6.110073343952673	-0.12191825759652097	-0.31044644170388314	0.06660992651084119	0.8168062443317979	0.20450560479118798
prt3417	-0.03697437957132441	0.7511495470853428	-6.914274114196991	-0.003543123706382989	-0.19178413096663738	0.1846978835538714	0.9995291464540942	0.9705191854110757
prt3418	-0.22124678781984533	3.8087647929059507	-6.890773465133533	-0.034809355553244714	-0.34387686084397073	0.2742581497374813	0.9904652718644794	0.8249849224157981
prt3419	-0.5303623175142429	-1.5387641041215863	-6.733607677521423	-0.05660696646333285	-0.26639853959105586	0.15318460666439015	0.9724364396417231	0.596138674022962
prt342	4.672229660073029	1.013039423956523	3.7655943923240436	0.7156575110891592	0.414771079073038	1.0165439431052805	0.00010269049710930565	3.765318227341207e-06
prt3420	-0.8112897367651418	1.461394320091302	-6.574180460852523	-0.11007047094523781	-0.37658224205036644	0.15644130015989083	0.9259398368153572	0.4175563647214918
prt3421	-0.025863924293426672	2.82705783323783	-6.902999563341621	-0.005053349598170165	-0.3888692625486079	0.37876256335226755	0.9995291464540942	0.9793755810405425
prt3422	-0.6033476034896649	-1.3905886267574359	-6.716079278122358	-0.06710865908097297	-0.2856685251996727	0.15145120703772671	0.9633954075224116	0.5465663278677149
prt3423	0.007780715293144946	-1.4963683049869823	-6.847762850988777	0.0016451703289538377	-0.4139840939247027	0.4172744345826104	0.9996268402934595	0.993795683725081
prt3424	-1.1091024950214203	-4.41293918200219	-6.07083523445159	-0.20511335948395515	-0.5690473543892074	0.15882063542129704	0.8624501155499605	0.2682725857304553
prt3425	-0.5940009204296338	-1.99247764459989	-6.5109698430678495	-0.07519139549331832	-0.32401567569530887	0.1736328847086722	0.9652042262505688	0.5528339239662736
prt3426	0.9034654400095087	-0.03175087253089264	-6.484017151733186	0.09831449913427748	-0.11548131011906648	0.31211030838762144	0.9061216909365094	0.36671090015578334
prt3427	-1.434188293487837	-1.079543487774514	-5.880354438583383	-0.2983649200970787	-0.7072738132073619	0.11054397301320446	0.7627988766903185	0.15225290439832428
prt3428	-1.658054832326043	-3.096980129684984	-5.383245140889632	-0.25861510930258813	-0.5654507292993238	0.04822051069414751	0.6828659972643876	0.09826074518120873
prt3429	1.6380340500592356	-2.6652170659508982	-5.449142952559795	0.18432369465610554	-0.0369708013556779	0.40561819066788896	0.6880448183469013	0.102289329660906
prt343	3.243432772234265	1.686113944740827	-1.7248312710989797	0.6299022010249016	0.2483902510924178	1.0114141509573853	0.024939709305149056	0.0012552987016925025
prt3430	1.1988689057545585	0.41807687632576357	-6.2173899526363465	0.20071381267795152	-0.1282319283891986	0.5296595537451017	0.840807837107725	0.23115653185952592
prt3431	1.8922094681348398	-1.2212970264046823	-5.061910613964981	0.3914900368801024	-0.01515853601914402	0.7981386097793488	0.5587288734933856	0.05913213911138331
prt3432	-0.45601414667698414	0.49933929949326267	-6.763070504665024	-0.05360385097686038	-0.2845187807840041	0.17731107883028335	0.9729794362351133	0.6485653461600438
