rowname	CVT09_QC1_LabE_X023	CVT09_QC2_LabE_X024	CVT09_QC3_LabE_X025	CVT09_QC4_LabE_X026	CVT09_s3_X002	CVT09_s10_X003	CVT09_s13_X004	CVT09_s16_X005	CVT09_s25_X006	CVT09_s28_X007	CVT09_s31_X008	CVT09_s36_X009	CVT09_s41_X010	CVT09_s50_X011	CVT09_s55_X012	CVT09_s59_X013	CVT09_s61_X014	CVT09_s67_X015	CVT09_s73_X016	CVT09_s77_X017	CVT09_s84_X018	CVT09_s90_X019	CVT09_s93_X020	CVT09_s99_X021
P0AD14	NA	123304	100162	63774.9	158852	126904	107901	132252	102580	106583	125633	143058	134487	125425	40316.8	NA	42864.1	42488.9	83874.6	74607.3	72366	38640.4	57917.9	70344.4
P22106	7017870	5250380	4994690	7383510	5065630	4466470	5119220	4978640	4795440	4595050	4627860	5618180	5859750	4937270	7563800	7280160	6914620	7619240	7242230	6836020	6890430	6990580	7221190	7172970
P0AAG8	187034	2422130	2343350	101320	2232280	2277130	2690150	2434980	2713830	2564900	2383040	2381730	2282480	2238340	196305	485518	490764	553592	202629	271726	342548	333522	358062	280867
P21514	402962	2047540	2065570	520509	2389360	1631430	2303140	2127190	1961560	1924710	1830100	2592400	2376900	1979930	786412	569002	930307	648334	349356	520945	558610	474419	534778	493652
P16384	1649750	1391230	1441850	1663160	1441230	1387350	1323610	1475830	1505820	1438490	1426470	1436400	1322840	1346670	1596680	1691650	1685820	1686100	1525640	1670930	1556760	1641710	1679970	1660900
P0AE06	4949680	5574870	5400650	4887790	5502880	5520050	5370420	5645500	5582850	5790720	5591300	5480020	5721340	5595480	5029900	4770780	5086460	4957840	5061990	4702250	4782680	4782420	5004210	4872590
P64540	2560470	2601550	2700000	2692040	2578900	2652740	2581180	2775440	2582880	2625200	2651580	2026590	2533500	2614690	2648230	3033260	2797010	2768200	2702020	2595790	2682780	2559610	2640610	2714270
P32669	714998	844977	853288	460133	916540	699357	862538	812642	716584	791640	740798	1017030	877309	744132	572828	352994	433365	576997	326052	670314	474984	594988	514982	485257
P0ABT2	24039100	32061000	32167800	19525400	34962500	35266800	27884900	34072400	30098200	38129000	40557500	27723100	21340400	40228700	25415100	19603400	25881200	20963900	26016600	22675200	24948500	20252700	23169900	23953800
P0ACP5	4400170	6515610	6208090	4922000	5598160	5782230	5664230	5699500	5822930	5807770	5305110	5835470	5877920	5926600	4450670	4184870	4279830	4338770	4508690	4550540	4345020	4265190	4267540	4745510
P37013	51382.6	87467.6	73670.2	68360.9	75107.7	53083.4	75124.5	63257.1	68648.6	65521.4	59465.9	67134	64458.5	65294.1	57004.7	98996.4	79378.7	73907.2	60562.6	71232.2	84396.7	72861.8	70674.2	75363.9
P0A6W0	234793	118948	142868	232204	181896	108274	144072	167140	126867	104326	116848	186327	180509	122891	220889	251835	206192	249483	215864	232559	238904	228221	248014	229788
P0A6L4	1099700	3095790	3229510	1151770	3081180	2968440	3374570	3311400	3911920	3588490	3243620	3173460	3379120	2768860	1242280	1184780	1069640	1067330	1053700	1294440	1185110	1073840	1121520	1188120
P23909	1174730	1286370	1175090	1212480	1235240	1177630	1215930	1263600	1247750	1207750	1185190	1233560	1331000	1207140	1188990	1166670	1131560	1184290	1198090	1137160	1116160	1170880	1207660	1141550
P0A8J8	4444710	4286910	4256340	4441540	4280040	4071950	4267130	4116080	4188740	4209140	4106180	4327630	4251250	4123410	4489340	4405480	4488090	4374120	4486610	4454550	4586080	4337290	4498250	4394770
P77737	5766130	4397500	4288480	7201470	4601370	3339880	4297000	4994020	3161470	3850930	4098640	4749240	5214430	5336020	5485730	4613660	5020940	4509970	5450520	5259390	5596660	5161980	5727540	5039860
P30136	5663770	6974970	7155910	5535310	6122890	7300720	7586550	6534370	7893120	7189030	6987670	6343320	3996700	6353050	5695550	6154900	5643960	6429120	5774900	5807680	5671960	6304180	5542110	5979150
P77690	137929	266741	285393	165153	268558	195084	255558	261386	248775	284726	238366	285019	276105	241042	204879	159220	159935	147806	147959	173285	153339	177931	195963	169343
P0AG59	7309840	5626570	6147720	7792880	5606190	6775140	6116100	5504750	5649300	5385860	6246290	6024380	5945580	6498810	7984780	9628890	8188530	7202050	9061940	8644660	7334510	7797510	7412780	7522690
P76507	514210	184484	224904	431554	NA	272322	353923	164248	352290	248415	324965	303498	150736	201843	422546	305856	371705	383894	331573	351255	370572	359032	372580	443818
P0A7S9	48376200	37338300	33734500	49563400	38485700	39204400	37186200	33779000	36768900	36235900	36507700	39028700	37700900	37143700	48703500	50215200	46888600	48362000	49094100	46664800	45754500	45169900	46627600	45642700
P31069	1229420	987196	1024050	1184750	776039	1224190	985665	951885	1098900	1117570	1242570	903519	765466	1090470	1305010	1306200	1446500	1055690	1174420	1225850	1268190	1174510	1196890	1265350
P52612	422621	671664	734730	553399	682530	732646	638721	755110	709792	770463	686180	531910	829965	774613	525542	610508	750587	430553	484354	484902	708958	636241	487698	593295
P77529	3058420	1915700	2278800	2691330	1705430	2049880	2121480	2279280	2099590	2084880	2071260	2149280	2065550	2121810	2647790	2299030	2629890	2293260	2333630	2606290	2598320	2403180	2316110	3121000
P00547	11201200	14008000	13749000	10763600	13952200	16188900	14833100	17134200	16682300	16639600	16868900	15044300	16969400	17542500	10751200	11428700	11282500	10734000	10873000	11499400	10943800	11567100	11007900	10537100
P0AES0	4985270	3120780	3127810	5510460	3485510	2574170	2973010	3030010	2878240	2706970	2703140	3667840	3681710	2911710	5128210	4864830	4754500	5736990	5650190	5211590	5253620	5483500	5565610	4925400
P0AFT2	1079130	779404	789515	973592	667609	655690	790995	824663	732589	810020	722172	783619	849654	777536	1004290	737785	843744	816772	781283	847314	947302	857039	908973	1064240
P0AAP3	1207990	1293080	1424040	1265360	1215220	1219560	1244340	1277360	1304590	1265070	1293420	1173650	1175180	1265000	1260090	1419340	1302110	1228320	1179180	1266250	1308080	1314580	1228720	1247650
P0A805	55704100	61978400	64217600	54375100	60690300	73066700	61381900	63636200	63509300	65885400	66930800	54205900	53589100	61710800	60820200	59563600	62714500	56291900	57066800	57402800	58159600	55225500	55486300	56644300
P76234	362661	278131	259936	326315	425492	255445	310920	319666	354302	308417	272685	378398	442199	245398	271501	322139	269750	294928	314453	278574	284948	281714	288922	308619
P08244	2266280	2369430	2206140	2405420	2344120	2130930	2250340	2210580	2258380	2133220	2102180	2430000	2314180	2126200	2372290	2349900	2382580	2352620	2344110	2231040	2362880	2245150	2332830	2334820
P08368	217702	219258	191630	228718	245449	215028	224429	225410	218059	196032	190349	220141	234603	185284	221577	269373	231448	230084	211411	159911	237045	224523	242027	256781
P63183	712161	318000	381958	596476	336248	299164	405386	330532	378582	343255	320294	400315	327406	296125	584695	624295	535395	588929	543907	663278	629870	661752	601963	674788
P0A9J8	3747460	2411230	2324340	3723580	2274530	2027290	2367280	2371230	2387340	2374550	2238410	2230800	2118780	2388300	3698890	3858840	3729640	3629070	3444340	3866200	4067130	3951490	3908940	4011210
P0AEK4	14378200	14236000	12925700	13586700	15451500	11452000	15061100	13553100	13902300	12529500	11415200	15209000	14849100	12315300	14684300	14686700	13950200	15181800	14787600	14558900	13759400	14040700	14502500	14982800
P31697	1169510	1745000	2349800	944618	1822880	2068710	1283480	2160830	1168940	1822840	1882760	1165490	690871	2011050	1313270	976388	1162730	1215870	1372660	1385160	1425060	882257	1295640	1474550
P0AB01	368857	511633	560074	435804	492281	462846	411807	504834	530665	469796	493389	494794	417172	471741	310354	358547	307814	343542	289340	351201	330917	333585	317266	298017
P77395	3080490	2480750	2404510	2981100	2659040	1888230	2674460	2593880	2549580	2332480	2131430	2437600	2429530	2419520	3186520	3016520	2864820	3051450	2876680	3105420	3081300	3018600	2991020	2866760
P18811	113401	132294	126804	152630	153754	118994	177699	122574	129658	126351	122865	125630	135551	119818	143600	104087	105528	121697	112581	85199.5	97929.9	121495	112428	98347.2
P0A790	7756640	7027190	6642080	7328040	6819790	5771400	5202680	6472460	6252450	6998890	6251010	6094060	8018000	6722550	8124630	8515860	7306450	8446370	7271700	7791790	5027760	5698910	7255340	6102820
