	t	AveExpr	B	logFC	CI.L	CI.R	adj.P.Val	P.Value	post.df	counts	sca.t	sca.P.Value	sca.adj.pval
P13987	-8.071696770550071	15.527913549972785	14.853191870185492	-0.6835932978673398	-0.8532075546731837	-0.513979041061496	4.159174586412083e-09	5.472598140015898e-11	57.0	3.0	-8.013095238492596	6.536898957100284e-11	4.9680432073962155e-09
P14151	4.322270564586485	18.664740587962964	1.2721381689213764	0.2752195626176359	0.1476941471536375	0.40274497808163434	0.000373227337442119	6.313996310111036e-05	57.0	9.0	4.330561711119175	6.089278789600319e-05	0.00036398835011992913
P14543	-1.0919067327540954	16.791362237837497	-6.241773314463646	-0.0461629571163229	-0.1308344999541805	0.038508585721534705	0.37360194985774947	0.2794992030890682	57.0	9.0	-1.0919414892902553	0.2794527912511691	0.3726037216682255
P14618	1.3354657362178282	15.28091235007783	-5.952056131609467	0.07137143882671637	-0.03566239909278249	0.17840527674621523	0.2719140486659524	0.18706868761604997	57.0	4.0	1.3349458139768893	0.18720163575018517	0.272107295680597
P14625	-3.916910639820567	16.55891760595738	-0.24987080788958682	-0.1872525611221505	-0.2839018886942849	-0.09060323355001611	0.0015037839580337796	0.0003448527121806787	40.0	7.0	-3.860334204927894	0.00040396126375170336	0.001761536002589395
P14625;Q58FF3	-1.047719164387042	17.62193014112894	-6.150786280511284	-0.1160320462198392	-0.3466072630914825	0.11454317065180405	0.40115471170754097	0.30689843546046836	21.0	9.0	-1.0529292654598348	0.30433865272389643	0.3987885794313125
P14735	3.8179909341093787	16.129692045683548	-0.9940702774870243	0.3787920329728589	0.17282423919669376	0.584759826749024	0.0033924605421503033	0.0009628976350840148	22.0	3.0	3.7406537544584055	0.0011329142257146606	0.003939283451504572
P14780	-0.6470312160956218	17.785474816254517	-6.625435936605072	-0.05872511153690141	-0.24049754133515036	0.12304731826134754	0.5951840990576789	0.5202267031237231	57.0	13.0	-0.6507117263978353	0.5178471379537061	0.5924616718094013
P14923	1.8220962741443814	14.666649566515721	-5.202156681692556	0.1318026167393569	-0.013668617971614477	0.27727385145032823	0.12307587025740219	0.07472463551342275	48.0	4.0	1.8244999716515165	0.07430400710733019	0.12200534500339401
P15144	2.2401345774989467	17.93932219100766	-4.417651505688012	0.11418504631762971	0.01209943852790181	0.21627065410735763	0.05635457912916439	0.029024726844720006	57.0	17.0	2.2727858536989	0.026827635974564903	0.05286037903136492
P15151	3.228362126554343	17.30821671091307	-2.1318176768003347	0.16968690253842666	0.06333755505143639	0.27603625002541693	0.007596541491946307	0.002541699972869253	39.0	4.0	3.2207878646537793	0.0025794423956327505	0.00766627572333309
P15169	-1.9329399309789608	19.504788715006026	-5.015769846799036	-0.10120102312576762	-0.20605766412668367	0.003655617875148426	0.10119503929061197	0.058251030904401806	57.0	14.0	-1.955079854142423	0.055483375578269066	0.09690154251404488
P15311;P26038;P35241	1.1449138401342276	16.952531838254036	-6.146635841838663	0.06592730551109227	-0.05058217668878982	0.18243678771097438	0.3524138261503307	0.25929212089631964	39.0	7.0	1.134678009553942	0.2634363014229923	0.35588631382107044
P15924	0.1475380105250751	16.13512585441623	-6.824312480080996	0.010056229498630387	-0.1264525705717756	0.1465650295690364	0.9036138490283168	0.8832315817570013	57.0	8.0	0.14745096917107028	0.883296414132709	0.9036801775357716
P16035	-1.337243033528804	15.505025687859511	-5.94974036906683	-0.09138361565214126	-0.22824703597580476	0.04547980467152224	0.2718179004586186	0.186491604637962	57.0	4.0	-1.3386904292386712	0.18598646242994765	0.271081638391047
P16070	-6.467126690501924	17.776242356289945	8.859660841083338	-0.3511646044772334	-0.45991447838515154	-0.24241473056931526	6.356529373529987e-07	2.509156331656574e-08	57.0	5.0	-6.487082102855112	2.2653147939632523e-08	6.342881423097107e-07
P16109	-0.7776746737246385	15.001707258185142	-6.4956418556453315	-0.05247379636504945	-0.1889991408892353	0.0840515481591364	0.529004355187683	0.4414998753822016	39.0	3.0	-0.7607109669250874	0.45140470889546913	0.539656865466044
P16930	2.6296999046251246	14.865478895468545	-3.630116141096511	0.2623963819199151	0.05465107844079661	0.47014168539903356	0.03426199483834206	0.015810505557823363	21.0	3.0	2.572436994100483	0.017754177675444297	0.03763036861886998
P17813	1.017962445634079	14.605654913884969	-6.318726116676992	0.049948319566503585	-0.048321129498875806	0.14821776863188296	0.40716406959334944	0.3130265121497743	57.0	3.0	0.9900531984727206	0.3263324208482158	0.4213806987651718
