Majority.protein.IDs	P_3.RIC_1	P_3.RIC_2	P_3.RIC_4	P_3.RIC_5	P_3.RIC_6	P_3.RIC_7	P_3.RIC_8	P_3.RIC_9	P_3.RIC_10	P_3.RIC_11	P_5.RIC_1	P_5.RIC_2	P_5.RIC_3	P_5.RIC_4	P_5.RIC_5	P_5.RIC_6	P_5.RIC_7	P_5.RIC_8	P_5.RIC_9	P_5.RIC_10	P_5.RIC_11
P02679	129430	77836	67214	77840	74749	63879	69806	83833	56262	168910	19183	21868	39175	19169	40765	28411	47373	32744	25854	19689	79987
P02730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3532.5	4159.5	3950.8	5360.1	4157.7	4672.5	6616.3	6454	13794	9761.6	4712.8
P02741	590020	225900	202820	143510	139750	166370	218190	389310	122620	569090	316990	147570	112060	186850	154970	190330	167110	175670	369980	142540	386880
P02743	1018000	790730	853050	1199000	891700	1482500	1250400	1530700	773640	917650	2002300	859590	1330500	1936400	1044400	1217900	1170000	1441300	1773200	1384900	1082100
P02745	194860	200080	213720	183850	177680	202770	231740	244010	241540	208580	207400	237340	194540	209990	190240	201180	222820	203260	134920	165150	222520
P02746	632300	693420	719330	624080	577930	667170	752720	814480	781680	683750	858010	796130	785240	888810	871900	908750	943780	834140	549240	715830	737930
P02747	377940	483770	474040	411290	366970	448120	504100	538630	496200	521340	448320	398550	446880	477800	508770	490730	534910	456420	273650	401410	440350
P02748	1802000	1838900	1685200	1534700	1527100	2075700	1913500	2666600	1629400	1758800	1954000	1502900	1739900	1599100	1368300	1729400	1472700	1820500	1872100	1413700	1553800
P02749	4447900	3725500	3412400	2237000	3119500	6800400	3071300	4668000	4311800	4616300	6650300	2877700	6012100	5581000	6795000	4973800	5473200	4044400	5157000	4436900	5067000
P02750	1165900	789830	728890	553360	593420	857340	646510	907510	644720	795520	787450	1007400	683730	600570	985080	723190	546420	706900	799190	731830	740750
P02751	7465600	7754200	8190900	7293400	9146000	11106000	11134000	8805900	9948200	7807000	2714800	4654000	12797000	4657800	12782000	3511100	3111900	15796000	5410000	4738700	7808800
P02753	1140100	757850	724380	955160	964510	2053400	870110	1172100	1098100	1207800	1243400	967580	1439900	1325500	2191000	913930	1908700	856300	969180	984950	1221700
P02760	3197900	1397900	1333500	1693200	1260000	2526600	1426600	2226700	1445900	2083400	1885400	1307000	3011500	1529600	2718400	1526900	3080800	1361000	1768800	1261700	1890900
P02763	344570	473840	389980	229880	440300	415440	539670	818660	349570	464090	233990	308490	244780	316060	446880	294330	456050	269190	360230	484320	333800
P02765	1668100	1979500	2202400	1975400	1902800	2068600	2336800	2403200	2030100	1817900	2048600	1876500	2145500	3021000	2326700	2413100	1140800	2304400	2370900	2225900	1851400
P02766	974780	1035700	1301500	1241900	1222400	2114700	1121100	1308700	1702100	1554300	728300	745830	792860	1329600	1553900	686710	1103100	595440	634350	757050	742570
P02774	6283100	8978600	8171200	7619800	7232300	7781200	8023300	9020600	8667800	7161900	6660400	8131300	6980900	8657300	7922300	11560000	4507200	7859900	6956800	9222600	6763300
P02775	1736700	1879900	2450900	1896400	1712000	2281200	1440500	2965500	1944800	1752300	598740	815590	620830	719580	518320	749680	562620	885360	585550	552180	562640
P02776	404810	414930	476150	362820	414210	464490	290770	468420	419790	382690	299530	334180	275570	377390	277750	339380	249180	499530	263090	281210	281400
P02786	601850	588130	500930	666750	545260	482850	547530	612660	549760	517600	963670	765630	700680	729920	913220	667770	1107200	567540	704590	607060	674130
P02787	2659000	5214800	5020700	2816800	4354000	3566500	4070700	3622200	4484500	3837200	2890700	2631800	3433100	3843800	4990600	3727600	3910000	3320300	3151000	3572200	2956300
P02788	244220	215800	195920	153650	186590	222310	170090	331740	190570	192700	136450	152600	172880	183340	262570	204380	145500	174080	167300	180070	158800
P02790	5479900	6672300	6746400	4098000	6555200	6771400	5861000	6996200	6679600	6091900	6998700	7788700	5347600	8464500	6779800	8339800	5404600	7514800	6731100	7417900	6168300
P03950	197190	131680	141450	131370	135190	228320	135820	185300	128600	189040	201300	215570	219420	267420	331880	204410	239840	174870	201950	179800	214600
